game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-1,-2,-3
1,1,2,-1,1
2,0,-2,1,-1
3,1,-1,-2,-3
4,0,2,3,5
5,1,2,1,3
6,0,-2,-1,-3
7,1,1,-1,0
8,0,-4,4,0
9,1,2,-4,-2
10,0,-1,-1,-2
11,1,1,-4,-3
12,0,2,1,3
13,1,-1,-2,-3
14,0,1,-1,0
15,1,3,-1,2
16,0,1,-2,-1
17,1,2,-1,1
