game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda
9260,7,2,ClusterValue,3,200,10,45,8,"Draw(CW,S6)",186493,6611.09,0
6267,4,12,ClusterValue,3,200,10,45,10,"Draw(CW,L0)",24440,913.931,0
1158,6,8,ClusterValue,3,200,10,45,55,"PostGuard(CCW,4,1)",93528,3369.25,0
6520,1,5,ClusterValue,3,200,10,45,55,"Hit(CCW,4,WEAK)",149562,5493.68,0
2099,0,14,ClusterValue,3,200,10,45,7,"Draw(CCW,S4)",3684,147.131,0
4892,6,10,ClusterValue,3,200,10,45,56,"Hit(CW,5,MIDDLE)",68608,2642.64,0
7859,3,14,ClusterValue,3,200,10,45,87,"Hit(CCW,13,MIDDLE)",5269,247.341,0
2084,7,10,ClusterValue,3,200,10,45,110,"PostGuard(CW,8,2)",74389,3199.76,0
5335,1,14,ClusterValue,3,200,10,45,85,"Hit(CCW,11,WEAK)",6012,306.02,0
5272,2,4,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",154601,5490.27,0
5472,3,13,ClusterValue,3,200,10,45,34,"Hit(CW,4,WEAK)",8097,357.54,0
4526,5,9,ClusterValue,3,200,10,45,1,"Draw(CCW,TEE)",76202,2791.86,0
6392,2,5,ClusterValue,3,200,10,45,54,"Hit(CW,4,WEAK)",148110,5424.76,0
1255,4,13,ClusterValue,3,200,10,45,7,"Draw(CCW,S4)",13729,702.222,0
5259,3,8,ClusterValue,3,200,10,45,40,"Freeze(CW,1)",106485,4246.84,0
7905,3,15,ClusterValue,3,200,10,45,56,"Hit(CW,10,MIDDLE)",103,6.67587,0
4159,5,11,ClusterValue,3,200,10,45,35,"Hit(CCW,4,WEAK)",51484,2192.9,0
2788,5,13,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",23747,1403.79,0
4360,7,4,ClusterValue,3,200,10,45,58,"Pass",157804,5694.52,0
8248,7,13,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",7657,346.928,0
2081,5,9,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",72267,2507.69,0
1265,4,5,ClusterValue,3,200,10,45,34,"Hit(CW,0,WEAK)",147301,5235.58,0
3677,7,15,ClusterValue,3,200,10,45,3,"Draw(CCW,S0)",75,4.61098,0
477,2,10,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",65605,2580.33,0
8462,7,13,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",18550,1006.06,0
3186,1,11,ClusterValue,3,200,10,45,34,"Hit(CW,0,WEAK)",53033,2244.81,0
8936,4,15,ClusterValue,3,200,10,45,1,"Draw(CCW,TEE)",145,10.7127,0
966,6,3,ClusterValue,3,200,10,45,14,"Draw(CW,L2)",174334,6134.13,0
232,1,13,ClusterValue,3,200,10,45,53,"PostGuard(CCW,11,0)",8137,374.656,0
3968,6,10,ClusterValue,3,200,10,45,39,"PostGuard(CCW,6,1)",56222,1941.36,0
2440,2,5,ClusterValue,3,200,10,45,45,"Hit(CCW,2,WEAK)",148128,5418.61,0
1624,6,15,ClusterValue,3,200,10,45,2,"Draw(CW,S0)",91,5.82524,0
9851,7,8,ClusterValue,3,200,10,45,61,"Freeze(CCW,7)",97909,3667.49,0
9879,2,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",117,8.13491,0
9832,1,9,ClusterValue,3,200,10,45,45,"Hit(CCW,2,WEAK)",86617,3431.39,0
4221,2,14,ClusterValue,3,200,10,45,125,"PostGuard(CCW,6,2)",5973,303.122,0
1999,2,5,ClusterValue,3,200,10,45,34,"Hit(CW,2,WEAK)",140479,4838.27,0
99,4,13,ClusterValue,3,200,10,45,49,"Hit(CCW,12,WEAK)",6350,262.428,0
964,0,8,ClusterValue,3,200,10,45,48,"Hit(CW,5,STRONG)",92672,3256.51,0
6357,7,5,ClusterValue,3,200,10,45,35,"Hit(CCW,0,WEAK)",148788,5426.55,0
632,7,12,ClusterValue,3,200,10,45,1,"Draw(CCW,TEE)",28052,1139.22,0
3130,2,11,ClusterValue,3,200,10,45,44,"Hit(CW,4,WEAK)",47924,1936.57,0
2941,4,13,ClusterValue,3,200,10,45,59,"Hit(CCW,6,STRONG)",19270,1036.67,0
6374,0,11,ClusterValue,3,200,10,45,49,"Hit(CCW,4,STRONG)",50442,1980.52,0
156,7,14,ClusterValue,3,200,10,45,55,"Hit(CCW,5,WEAK)",5939,290.155,0
1570,1,4,ClusterValue,3,200,10,45,29,"PreGuard(CCW,G4)",154504,5475.37,0
7117,6,12,ClusterValue,3,200,10,45,38,"Hit(CW,11,STRONG)",23363,856.259,0
6164,7,6,ClusterValue,3,200,10,45,36,"Hit(CW,5,MIDDLE)",122152,4273.03,0
4376,5,5,ClusterValue,3,200,10,45,58,"Hit(CW,4,STRONG)",148473,5210.86,0
4444,0,12,ClusterValue,3,200,10,45,54,"Hit(CW,11,WEAK)",26153,1001.09,0
5083,5,6,ClusterValue,3,200,10,45,34,"Hit(CW,1,WEAK)",134230,5025.99,0
894,4,13,ClusterValue,3,200,10,45,43,"Hit(CCW,4,TOUCH)",15968,820.436,0
8445,1,11,ClusterValue,3,200,10,45,79,"PostGuard(CCW,3,0)",53825,2282.29,0
7871,7,15,ClusterValue,3,200,10,45,35,"Hit(CCW,0,WEAK)",151,11.5173,0
8198,0,4,ClusterValue,3,200,10,45,51,"Freeze(CCW,3)",157721,5628.71,0
6829,6,13,ClusterValue,3,200,10,45,45,"Hit(CCW,12,WEAK)",6675,299.183,0
4702,2,8,ClusterValue,3,200,10,45,1,"Draw(CCW,TEE)",88103,3087.3,0
4058,3,5,ClusterValue,3,200,10,45,10,"Draw(CW,L0)",146398,5221.43,0
7591,4,13,ClusterValue,3,200,10,45,18,"Draw(CW,L4)",15270,778.386,0
1445,7,8,ClusterValue,3,200,10,45,7,"Draw(CCW,S4)",94673,3512.74,0
5373,5,13,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",15817,817.496,0
5423,3,9,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",87689,3493.97,0
1644,5,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",135,9.9476,0
6839,5,3,ClusterValue,3,200,10,45,21,"Draw(CCW,L5)",172793,6059.75,0
1063,2,15,ClusterValue,3,200,10,45,34,"Hit(CW,12,WEAK)",55,3.08867,0
3774,5,6,ClusterValue,3,200,10,45,49,"Hit(CCW,5,STRONG)",127769,4626.45,0
7844,2,5,ClusterValue,3,200,10,45,45,"Hit(CCW,2,WEAK)",147531,5269.66,0
5770,5,13,ClusterValue,3,200,10,45,33,"Hit(CCW,0,TOUCH)",11092,544.258,0
