game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda
6216,7,8,ClusterValue,3,200,10,45,9,"Draw(CCW,S6)",90772,4115.33,0.5
8471,6,5,ClusterValue,3,200,10,45,38,"Hit(CW,0,STRONG)",148508,6869.82,0.5
256,3,12,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",27603,1380.07,0.5
5778,2,9,ClusterValue,3,200,10,45,37,"Hit(CCW,0,MIDDLE)",84273,4051.15,0.5
6320,4,15,ClusterValue,3,200,10,45,64,"Hit(CW,12,WEAK)",103,8.13663,0.5
1638,4,11,ClusterValue,3,200,10,45,49,"Hit(CCW,4,STRONG)",49617,2524.02,0.5
2310,6,15,ClusterValue,3,200,10,45,55,"Hit(CCW,6,WEAK)",135,11.0917,0.5
7921,5,4,ClusterValue,3,200,10,45,18,"Draw(CW,L4)",155150,7022.23,0.5
1361,1,12,ClusterValue,3,200,10,45,47,"Hit(CCW,11,MIDDLE)",23400,1143.65,0.5
5041,1,8,ClusterValue,3,200,10,45,53,"PostGuard(CCW,6,2)",91682,4191,0.5
5033,7,5,ClusterValue,3,200,10,45,35,"Hit(CCW,0,WEAK)",146823,6723.09,0.5
5022,1,15,ClusterValue,3,200,10,45,7,"Draw(CCW,S4)",89,7.82706,0.5
9907,7,9,ClusterValue,3,200,10,45,38,"Hit(CW,4,STRONG)",76568,3495.75,0.5
8627,2,12,ClusterValue,3,200,10,45,100,"PostGuard(CW,10,2)",35649,2115.02,0.5
1641,6,10,ClusterValue,3,200,10,45,67,"Hit(CCW,7,MIDDLE)",74486,4162.14,0.5
7249,2,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",139,12.8108,0.5
4837,7,2,ClusterValue,3,200,10,45,35,"Hit(CCW,1,WEAK)",186364,8452.24,0.5
1039,2,15,ClusterValue,3,200,10,45,3,"Draw(CCW,S0)",43,3.14972,0.5
7846,3,10,ClusterValue,3,200,10,45,48,"Hit(CW,9,STRONG)",58887,2701.98,0.5
5246,2,5,ClusterValue,3,200,10,45,36,"Hit(CW,0,MIDDLE)",147702,6834.8,0.5
4166,2,12,ClusterValue,3,200,10,45,48,"Hit(CW,11,WEAK)",27952,1450.59,0.5
6533,4,6,ClusterValue,3,200,10,45,32,"Hit(CW,1,TOUCH)",134523,6598.5,0.5
5721,0,12,ClusterValue,3,200,10,45,28,"PreGuard(CW,G4)",41306,2559.7,0.5
4463,7,9,ClusterValue,3,200,10,45,55,"Hit(CCW,4,WEAK)",86471,4334.01,0.5
5606,2,14,ClusterValue,3,200,10,45,77,"Hit(CCW,9,MIDDLE)",5664,349.755,0.5
1123,4,3,ClusterValue,3,200,10,45,33,"Hit(CCW,0,TOUCH)",173238,7770.05,0.5
8113,3,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",69,5.66158,0.5
716,6,7,ClusterValue,3,200,10,45,37,"Hit(CCW,4,MIDDLE)",107361,4784.33,0.5
459,3,5,ClusterValue,3,200,10,45,34,"Hit(CW,0,WEAK)",146169,6502.59,0.5
9287,7,12,ClusterValue,3,200,10,45,40,"Hit(CW,11,MIDDLE)",26701,1354.78,0.5
5647,1,10,ClusterValue,3,200,10,45,65,"Hit(CCW,9,WEAK)",67330,3242.33,0.5
4562,4,13,ClusterValue,3,200,10,45,128,"Pass",21606,1582.99,0.5
6201,5,11,ClusterValue,3,200,10,45,43,"Hit(CCW,2,TOUCH)",50392,2649.67,0.5
9166,3,14,ClusterValue,3,200,10,45,55,"Hit(CCW,5,WEAK)",5894,347.728,0.5
