game_id,end,shot_num,candidate_idx,label,shot_type,q_ref_mean,q_ref_sd,n_rollouts,resampled,score_hist,q_immediate_mean
2226,1,6,0,"Draw(CW,TEE)",1,-0.36,1.95458,200,1,"-4:9;-3:15;-2:27;-1:74;1:37;2:23;3:7;4:7;5:1",1.68
2226,1,6,1,"Draw(CCW,TEE)",1,-0.495,1.94164,200,1,"-6:1;-5:2;-4:6;-3:16;-2:34;-1:67;1:40;2:25;3:4;4:3;5:2",1.36
2226,1,6,2,"Draw(CW,S0)",1,-0.195,1.88068,200,1,"-5:1;-4:7;-3:10;-2:27;-1:67;1:51;2:23;3:9;4:4;5:1",1.88
2226,1,6,3,"Draw(CCW,S0)",1,-0.495,1.96977,200,1,"-5:2;-4:9;-3:20;-2:31;-1:58;1:51;2:16;3:9;4:3;5:1",1.755
2226,1,6,4,"Draw(CW,S2)",1,-0.63,1.80917,200,1,"-5:1;-4:6;-3:22;-2:35;-1:68;1:40;2:17;3:11",1
2226,1,6,5,"Draw(CCW,S2)",1,-0.49,1.98995,200,1,"-6:1;-5:2;-4:9;-3:18;-2:30;-1:60;1:49;2:18;3:10;4:2;5:1",1
2226,1,6,6,"Draw(CW,S4)",1,-0.285,2.13396,200,1,"-7:1;-5:2;-4:7;-3:12;-2:35;-1:63;1:36;2:23;3:11;4:8;5:2",1.66
2226,1,6,7,"Draw(CCW,S4)",1,-0.595,2.02014,200,1,"-6:1;-5:4;-4:6;-3:22;-2:35;-1:57;1:41;2:23;3:7;4:4",1.43
2226,1,6,8,"Draw(CW,S6)",1,-0.48,1.94926,200,1,"-5:2;-4:5;-3:21;-2:35;-1:62;1:40;2:21;3:9;4:5",1
2226,1,6,9,"Draw(CCW,S6)",1,-0.505,1.99499,200,1,"-6:2;-5:2;-4:8;-3:16;-2:28;-1:69;1:42;2:19;3:10;4:4",1
2226,1,6,10,"Draw(CW,L0)",1,-0.22,2.01037,200,1,"-7:1;-6:1;-5:1;-4:4;-3:11;-2:30;-1:66;1:50;2:20;3:8;4:6;5:1;6:1",1.835
2226,1,6,11,"Draw(CCW,L0)",1,-0.245,1.9862,200,1,"-5:1;-4:5;-3:11;-2:39;-1:62;1:47;2:15;3:12;4:4;5:4",2.69
2226,1,6,12,"Draw(CW,L1)",1,-0.735,2.12715,200,1,"-6:2;-5:5;-4:16;-3:17;-2:27;-1:59;1:45;2:16;3:11;4:2",1
2226,1,6,13,"Draw(CCW,L1)",1,-0.64,2.08096,200,1,"-6:1;-5:3;-4:12;-3:22;-2:30;-1:57;1:42;2:23;3:6;4:2;5:2",1
2226,1,6,14,"Draw(CW,L2)",1,-0.735,2.00369,200,1,"-6:3;-5:3;-4:8;-3:19;-2:38;-1:57;0:1;1:47;2:16;3:4;4:3;5:1",1
2226,1,6,15,"Draw(CCW,L2)",1,-0.685,2.01638,200,1,"-6:2;-5:4;-4:9;-3:20;-2:28;-1:64;1:50;2:14;3:5;4:3;6:1",1
2226,1,6,16,"Draw(CW,L3)",1,-0.8,1.97737,200,1,"-6:1;-5:5;-4:11;-3:19;-2:33;-1:66;1:35;2:23;3:5;4:2",1
2226,1,6,17,"Draw(CCW,L3)",1,-0.845,1.99774,200,1,"-6:2;-5:3;-4:12;-3:19;-2:39;-1:61;1:40;2:14;3:6;4:4",1
2226,1,6,18,"Draw(CW,L4)",1,-0.25,2.13951,200,1,"-6:1;-5:2;-4:10;-3:10;-2:29;-1:65;1:41;2:19;3:16;4:4;5:2;6:1",1
2226,1,6,19,"Draw(CCW,L4)",1,-0.025,2.14811,200,1,"-5:1;-4:4;-3:18;-2:29;-1:56;1:42;2:24;3:17;4:3;5:5;6:1",1
2226,1,6,20,"Draw(CW,L5)",1,-0.675,1.90509,200,1,"-5:2;-4:10;-3:20;-2:32;-1:69;1:40;2:18;3:5;4:3;5:1",1
2226,1,6,21,"Draw(CCW,L5)",1,-0.735,1.97605,200,1,"-6:2;-5:4;-4:9;-3:21;-2:34;-1:55;1:52;2:16;3:5;4:2",1
2226,1,6,22,"Draw(CW,L6)",1,-0.74,1.84997,200,1,"-6:1;-4:8;-3:25;-2:34;-1:68;1:38;2:17;3:7;4:2",1
