game,a_hammer_end0,net_end0,net_end1,net_a
0,0,1,1,2
1,1,-2,2,0
2,0,2,-2,0
3,1,5,-1,4
4,0,2,-5,-3
5,1,2,-5,-3
6,0,1,-2,-1
7,1,2,-2,0
8,0,-2,-1,-3
9,1,-1,2,1
10,0,-1,-2,-3
11,1,1,-5,-4
12,0,-1,1,0
13,1,-1,1,0
14,0,1,1,2
15,1,4,-2,2
16,0,-5,1,-4
17,1,1,-1,0
