arm,method,depth,playouts,rollouts,n,mean_regret,sd_regret,mean_q,mean_sims,min_sims,max_sims,mean_time
A1,AllGrid,3,200,10,250,0.51364,0.5127993791073185,0.25756,58793.324,61,159359,2541.64142348
A2,Proposed,3,200,10,250,0.50646,0.5736758530192372,0.26474000000000003,53435.5,61,154856,2029.68663744
A5,RandomK,3,200,10,250,0.50498,0.5304539803802071,0.26622,53422.676,61,154939,2059.75897568
A7,ScoreScreen,3,200,10,250,0.50204,0.5085364052867877,0.26916,55381.088,61,164753,3026.43732468
A8,ScoreTopK,3,200,10,250,0.51116,0.5653863291633602,0.26004,55590.084,61,164522,3091.49187104
A9,ClusterValue,3,200,10,250,0.50816,0.49660919966182165,0.26304,55601.94,61,164700,2036.3324826
