game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,risk_lambda,q_ref_mean,q_ref_sd,q_best,regret,q_adj,q_adj_best,regret_adj
8113,3,15,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",69,4.10956,A9P5,0.0,0.93,0.36756,1.0,0.0699999999999999,0.7462200000000001,1.0,0.2537799999999999
716,6,7,ClusterValue,3,200,10,46,35,"Hit(CCW,4,WEAK)",107454,3668.49,A9P5,0.0,0.755,1.77622,1.015,0.2599999999999999,-0.1331099999999999,0.073725,0.206835
459,3,5,ClusterValue,3,200,10,46,34,"Hit(CW,0,WEAK)",146721,4979.11,A9P5,0.0,0.845,2.09547,1.05,0.205,-0.2027350000000001,0.0341899999999999,0.236925
9287,7,12,ClusterValue,3,200,10,46,41,"Hit(CCW,11,MIDDLE)",25713,955.262,A9P5,0.0,-0.475,1.20805,-0.31,0.1649999999999999,-1.079025,-0.98168,0.097345
5647,1,10,ClusterValue,3,200,10,46,65,"Hit(CCW,9,WEAK)",68135,2525.09,A9P5,0.0,-0.36,1.77212,0.33,0.69,-1.24606,-0.460745,0.785315
4562,4,13,ClusterValue,3,200,10,46,74,"Hit(CW,8,WEAK)",17892,967.998,A9P5,0.0,1.255,1.35277,1.765,0.51,0.5786149999999999,1.0849699999999998,0.5063549999999999
6201,5,11,ClusterValue,3,200,10,46,63,"Hit(CCW,6,TOUCH)",52809,2203.51,A9P5,0.0,0.765,1.64005,0.765,0.0,-0.0550249999999999,-0.0550249999999999,0.0
9166,3,14,ClusterValue,3,200,10,46,74,"Hit(CW,9,WEAK)",5842,274.024,A9P5,0.0,0.06,1.93556,0.995,0.935,-0.90778,0.3176949999999999,1.225475
8703,4,3,ClusterValue,3,200,10,46,5,"Draw(CCW,S2)",171216,5694.02,A9P5,0.0,0.475,2.11409,1.18,0.705,-0.582045,0.1865699999999999,0.7686149999999999
1616,0,14,ClusterValue,3,200,10,46,39,"Hit(CCW,7,STRONG)",2842,102.975,A9P5,0.0,-0.78,1.42183,0.86,1.64,-1.490915,0.18354,1.674455
5809,3,9,ClusterValue,3,200,10,46,45,"Hit(CCW,8,WEAK)",72331,2417.75,A9P5,0.0,0.705,1.72278,0.78,0.075,-0.15639,-0.0848099999999999,0.07158
4651,6,5,ClusterValue,3,200,10,46,32,"Hit(CW,0,TOUCH)",146165,5205.14,A9P5,0.0,0.52,1.90515,0.915,0.395,-0.4325749999999999,-0.09715,0.3354249999999998
8894,2,15,ClusterValue,3,200,10,46,2,"Draw(CW,S0)",79,4.84084,A9P5,0.0,1.885,0.437921,1.885,0.0,1.6660395,1.6660395,0.0
2369,6,9,ClusterValue,3,200,10,46,47,"Hit(CCW,2,MIDDLE)",79466,2727.19,A9P5,0.0,0.48,1.61852,0.69,0.2099999999999999,-0.32926,-0.214695,0.1145649999999999
1083,7,15,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",103,6.48971,A9P5,0.0,-0.98,0.198997,0.74,1.72,-1.0794985,-0.163105,0.9163935
366,3,11,ClusterValue,3,200,10,46,77,"Hit(CCW,8,MIDDLE)",55119,2254.72,A9P5,0.0,1.015,1.99117,1.555,0.54,0.0194149999999998,0.5517699999999999,0.532355
6354,2,15,ClusterValue,3,200,10,46,4,"Draw(CW,S2)",151,10.5721,A9P5,0.0,1.535,0.498773,1.535,0.0,1.2856135,1.2856135,0.0
9260,7,2,ClusterValue,3,200,10,46,48,Pass,187597,6301.63,A9P5,0.0,-0.47,1.95169,-0.21,0.26,-1.4458449999999998,-1.206985,0.2388599999999998
6267,4,12,ClusterValue,3,200,10,46,11,"Draw(CCW,L0)",24400,883.185,A9P5,0.0,-0.36,1.72928,-0.025,0.3349999999999999,-1.22464,-0.859435,0.365205
1158,6,8,ClusterValue,3,200,10,46,40,"Freeze(CW,1)",93303,3168.32,A9P5,0.0,-0.31,2.01095,0.39,0.7,-1.315475,-0.642945,0.67253
