game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-2,1,-1
1,1,-1,2,1
2,0,-2,-1,-3
3,1,-2,4,2
4,0,3,-1,2
5,1,-3,1,-2
6,0,-2,-1,-3
7,1,1,-1,0
8,0,-5,-2,-7
9,1,2,-3,-1
10,0,-1,2,1
11,1,1,-1,0
12,0,-1,1,0
13,1,-2,1,-1
