game_id,end,shot_num,team,remaining,has_hammer,phase_shot,phase_r,n_stones,n_stones_bin,n_my,n_op,n_my_house,n_op_house,n_house,house_diff,n_my_guard,n_op_guard,n_guard,n_center_guard,center_lane_blocked,n_front_house,n_back_house,n_within_0.61,n_within_1.22,d_no1,no1_mine,d_no2,no1_no2_gap,counting_my,counting_op,score_now,min_pair_dist,mean_nn_dist,x_spread,y_spread,house_mean_nn_dist,house_density,n_cand,q_star,q_2nd,q_gap12,q_median,q_mean,q_min,q_range,q_iqr,q_star_minus_median,n_near_best_025,n_near_best_050,frac_near_best_050,q_sd_mean,q_sd_median,q_sd_best,best_type,n_types,frac_hit,frac_draw,frac_guard,best_type_margin,n_types_near_best_050,best_type_is_hit,best_hist_entropy,best_p_negative,best_p_ge2,qadj_star_l0.5,qadj_best_same_as_q_best_l0.5,qadj_best_type_l0.5,lookahead_gain_best,lookahead_gain_mean,n_cand_ct,K_clusters,n_reps,largest_frac,n_singleton,singleton_frac,size_entropy_norm,mean_cluster_size,type_purity,eta2_q,within_sd_q,between_range_q,best_is_rep,best_cluster_selected,best_cluster_size,rep_q_max,screen_loss,true_top_cluster_selected,rho_cand,rho_cluster,rho_gain,cluster_sd_mean,best_cluster_rank,rho_cluster_risk_l0.5,rho_cand_risk_l0.5,topk_overlap_l0.5,n_seeds_ct,rho_gain_sd,regret_A9P5,regret_A9P5_sd,n_seeds_A9P5,regret_adj_A9P5,regret_adj_A9P5_sd,regret_A11b,regret_A11b_sd,n_seeds_A11b,regret_adj_A11b,regret_adj_A11b_sd,d_A11b_A9P5,dadj_A11b_A9P5
3292,1,9,1,7,1,mid,mid_r5-8,6,5-8,3,3,3,2,5,1,0,0,0,0,1,4,1,2,5,0.12854597211772442,0,0.4382419285397598,0.3096959564220354,0,1,-1,0.3452522809008444,0.7289786110363191,0.9000724515918681,0.36379056131241205,0.5854060840858015,0.40843771227552755,75,1.645,1.62,0.02499999999999991,0.83,0.8291333333333333,-0.185,1.83,0.48249999999999993,0.8150000000000001,8,16,0.21333333333333335,2.2163178666666674,2.22214,2.33858,Hit,6,0.26666666666666666,0.4,0.32,0.45999999999999996,2,1,2.863642767201017,0.29,0.49,0.5634000000000001,0,Hit,0.15999999999999992,2.0487333333333333,75.0,15.0,10.0,0.26666666666666666,4.0,0.26666666666666666,0.8465922010686804,5.0,0.7333333333333333,0.6862550363736784,0.20522057902403068,1.0375,0.4,1.0,6.0,1.569,0.07599999999999998,0.8,0.26141401059049985,0.35790601190924276,0.09649200131874286,2.0708667188613314,2.2,0.42499999999999993,0.25774901386680804,0.9800000000000001,5,0.21202145716723184,0.20000000000000004,0.1323820229487373,5,0.20460400000000015,0.09692464814225538,0.189,0.17640153060560443,5,0.21832000000000007,0.13279955981666508,-0.011000000000000038,0.013715999999999923
9633,1,10,0,6,0,mid,mid_r5-8,7,5-8,4,3,4,3,7,1,0,0,0,0,1,4,3,4,6,0.11573870004885917,0,0.2929572594355714,0.17721855938671222,0,1,-1,0.39561987352001965,0.537200875939047,0.23960903795251676,0.7557936839197996,0.537200875939047,0.5718127971857385,87,0.57,0.435,0.13499999999999995,-0.39,-0.34534482758620694,-1.08,1.65,0.445,0.96,4,10,0.11494252873563218,1.8160551724137932,1.81105,2.07487,Hit,6,0.27586206896551724,0.367816091954023,0.3448275862068966,0.22999999999999993,4,1,2.664252961995673,0.435,0.31,-0.46743500000000016,1,Hit,-2.25,0.29666666666666663,87.0,18.0,10.0,0.1839080459770115,6.0,0.3333333333333333,0.8386964930364158,4.833333333333333,0.6551724137931034,0.6572649786997903,0.19768474289034219,1.4775,0.4,1.0,2.0,0.489,0.08099999999999997,1.0,0.25168450908048257,0.2371027113477185,-0.014581797732764124,1.7192484319368824,2.4,0.15830753353973168,0.25471818363009147,0.96,5,0.15001476843953496,0.07299999999999995,0.1054514106117125,5,0.0450049999999999,0.06175102833151836,0.16999999999999996,0.17510711007837457,5,0.11016799999999986,0.12741025040199858,0.097,0.06516299999999997
5313,3,6,0,10,0,mid,early_r9+,6,5-8,3,3,3,3,6,0,0,0,0,0,1,4,2,4,6,0.35490496411856576,1,0.38450929960275315,0.029604335484187394,1,0,1,0.31211478055396663,0.38162536594093566,0.29646933876734344,0.4044800424275867,0.38162536594093566,0.490125254730633,81,-0.075,-0.085,0.010000000000000009,-0.59,-0.5942592592592594,-1.22,1.145,0.38,0.515,12,39,0.48148148148148145,2.066449135802469,2.06397,2.09031,PostGuard,6,0.2962962962962963,0.3950617283950617,0.2962962962962963,0.06000000000000001,5,0,2.7148164657431466,0.495,0.2,-1.120155,1,PostGuard,-1.075,-1.3090740740740743,81.0,17.0,10.0,0.22222222222222224,4.0,0.23529411764705882,0.8490042519064709,4.764705882352941,0.7037037037037037,0.4879239898323379,0.19123247947386965,0.7002777777777778,0.6,1.0,12.0,-0.10300000000000001,0.028000000000000004,0.8,0.180171421734786,0.11711633810659405,-0.06305508362819197,1.9342656627601358,6.4,-0.04705882352941175,0.1351932709193284,0.86,5,0.18535615676827452,0.8780000000000001,0.1500666518584325,5,0.8797609999999999,0.15219364020056822,0.881,0.1826677311404507,5,0.8576029999999999,0.2007063327538521,0.0029999999999998916,-0.02215800000000001
2130,6,7,1,9,1,mid,early_r9+,7,5-8,4,3,4,3,7,1,0,0,0,0,1,5,2,4,7,0.20486890882991482,1,0.2876310962952361,0.08276218746532127,2,0,2,0.31946502419044437,0.4057032101238614,0.31622903895623966,0.4346318376346978,0.4057032101238614,0.5718127971857385,87,1.34,1.305,0.03500000000000014,0.42,0.4714367816091954,-0.055,1.395,0.385,0.9200000000000002,8,12,0.13793103448275862,2.1237962068965524,2.10178,2.2191,Hit,6,0.27586206896551724,0.367816091954023,0.3448275862068966,0.535,1,1,2.7677979773374344,0.325,0.42,0.23045000000000004,1,Hit,-2.295,-0.9106321839080458,87.0,18.0,10.0,0.22988505747126436,7.0,0.3888888888888889,0.8114968699427232,4.833333333333333,0.7471264367816092,0.7876916145414902,0.1556325586830098,1.1325,0.0,1.0,10.0,1.277,0.06300000000000008,0.8,0.2257024845093965,0.41047400653625943,0.18477152202686287,1.8688925281031117,4.8,0.3510835913312694,0.1959838905443863,0.9199999999999999,5,0.20062134648533222,0.30800000000000005,0.22013064302818,5,0.299063,0.1751287095467216,0.186,0.16272676485446394,5,0.199486,0.12697658427836203,-0.12200000000000005,-0.09957700000000003
9218,5,10,0,6,0,mid,mid_r5-8,9,9-12,4,5,4,5,9,-1,0,0,0,0,1,6,3,5,8,0.2657821081563052,0,0.26690897553765675,0.0011268673813515373,0,1,-1,0.409494646813604,0.4848254045117069,0.32648323136304835,0.6270163027789768,0.4848254045117069,0.7351878820959495,107,0.945,0.88,0.06499999999999995,0.41,0.360607476635514,-0.825,1.77,0.3399999999999999,0.5349999999999999,12,47,0.4392523364485981,1.7333280373831776,1.73525,1.64681,Hit,6,0.37383177570093457,0.3364485981308411,0.2803738317757009,0.06499999999999995,5,1,2.3692868377532084,0.275,0.395,0.1215949999999999,1,Hit,0.825,0.850233644859813,107.0,22.0,10.0,0.2616822429906542,8.0,0.36363636363636365,0.7652241697454691,4.863636363636363,0.7289719626168224,0.8162462189155926,0.14544141619624376,1.585,0.2,1.0,12.0,0.8280000000000001,0.11699999999999995,0.8,0.2928667035763773,0.43402485127408746,0.14115814769771018,1.6629394112046298,6.0,0.4450592885375494,0.3008258864347173,0.9,5,0.09241502894351061,0.4539999999999999,0.26752102721094656,5,0.5634699999999999,0.2938425449113862,0.6249999999999999,0.2720753572082558,5,0.6471399999999999,0.30358164490792267,0.17099999999999999,0.08367000000000002
8265,7,10,0,6,0,mid,mid_r5-8,8,5-8,4,4,4,4,8,0,0,0,0,0,1,6,2,4,8,0.19538380272939487,1,0.30939837902613415,0.11401457629673928,2,0,2,0.3321574799338451,0.38815794653718877,0.4094872010508234,0.29785298282038325,0.38815794653718877,0.6535003396408441,97,0.975,0.95,0.025000000000000022,0.315,0.14128865979381444,-1.73,2.705,0.56,0.6599999999999999,15,28,0.28865979381443296,1.9808190721649486,1.96285,1.713,Draw,6,0.32989690721649484,0.35051546391752575,0.30927835051546393,0.030000000000000027,5,0,2.4866478821258124,0.28,0.435,0.11849999999999994,1,Draw,-0.9600000000000001,-1.3409278350515463,97.0,20.0,10.0,0.12371134020618557,6.0,0.3,0.9019914138942398,4.85,0.7319587628865979,0.8277356142416054,0.2587718021370569,2.06125,0.2,0.8,12.0,0.833,0.14199999999999996,0.6,0.4766462025755067,0.5529588114511842,0.07631260887567745,1.9516080840827978,11.2,0.5461654135338345,0.4691568988964431,0.9,5,0.0660566054302586,0.39499999999999996,0.2154065922853802,5,0.5132939999999999,0.23753599573012085,0.4119999999999999,0.47966915681540334,5,0.4977359999999999,0.518122301095504,0.01699999999999996,-0.015558000000000016
7644,2,9,1,7,1,mid,mid_r5-8,7,5-8,5,2,5,2,7,3,0,0,0,0,1,4,3,3,5,0.2666184253497868,1,0.3371879600460247,0.07056953469623789,1,0,1,0.38772104150406833,0.5850770111757128,0.3818513691330549,0.8097069517764437,0.5850770111757128,0.5718127971857385,83,1.705,1.675,0.030000000000000027,0.87,0.9104216867469881,0.415,1.29,0.3275000000000001,0.8350000000000001,5,13,0.1566265060240964,2.284972530120482,2.28908,2.45519,Hit,6,0.1927710843373494,0.3614457831325301,0.43373493975903615,0.33499999999999996,4,1,3.0066970845738004,0.295,0.53,0.501395,0,Hit,-0.43999999999999995,-0.04825301204819278,83.0,17.0,10.0,0.30120481927710846,8.0,0.47058823529411764,0.7256947605207541,4.882352941176471,0.6867469879518072,0.6030823199970975,0.18195829980534756,1.0575,0.2,0.6,2.0,1.611,0.09400000000000004,0.6,0.13826794050094496,0.055121454045910026,-0.08314648645503495,2.0188226818200676,9.4,0.07107843137254902,0.1422257234750119,0.9399999999999998,5,0.12250580606865152,0.546,0.40814213210596134,5,0.5616150000000001,0.36732425430401416,0.275,0.2707166415276313,5,0.2517729999999999,0.30556152699988276,-0.271,-0.3098420000000002
157,5,8,0,8,0,mid,mid_r5-8,6,5-8,3,3,3,3,6,0,0,0,0,0,1,4,2,4,6,0.18178258584363907,1,0.23317179315045672,0.05138920730681765,1,0,1,0.2901252549917043,0.3736751882961284,0.23256841352289342,0.4424877889087263,0.3736751882961284,0.490125254730633,81,0.215,0.06,0.155,-0.435,-0.43,-1.09,1.3050000000000002,0.33499999999999996,0.65,5,24,0.2962962962962963,2.012227160493827,2.01106,2.09733,Draw,6,0.2962962962962963,0.3950617283950617,0.2962962962962963,0.155,5,0,2.71652423666877,0.51,0.29,-0.833665,1,Draw,1.1,-1.1204938271604938,81.0,17.0,10.0,0.14814814814814814,5.0,0.29411764705882354,0.8950987772943464,4.764705882352941,0.7283950617283951,0.3239332919817855,0.19668593639521473,0.6699999999999999,0.2,1.0,12.0,0.014999999999999994,0.2,0.6,0.2349083958580927,0.08618671419987288,-0.14872168165821983,1.8399869827594926,7.2,0.11372549019607843,0.22349476000592766,0.9,5,0.20208717253470607,0.7390000000000001,0.5188255969013095,5,0.7193660000000002,0.5071433523102715,0.24500000000000002,0.13738631664034087,5,0.20103800000000005,0.11238444340743965,-0.4940000000000001,-0.5183280000000001
5808,2,8,0,8,0,mid,mid_r5-8,7,5-8,3,4,3,4,7,-1,0,0,0,0,1,4,3,5,7,0.06659101804778195,1,0.363510582086684,0.2969195640389021,1,0,1,0.29109694919048607,0.34739102911213543,0.24409568366674056,0.4431261404233908,0.34739102911213543,0.5718127971857385,91,0.49,0.39,0.09999999999999998,-0.015,-0.06214285714285714,-0.935,1.425,0.2625,0.505,11,43,0.4725274725274725,1.8027282417582418,1.79716,1.67329,PostGuard,6,0.3516483516483517,0.37362637362637363,0.26373626373626374,0.18,5,0,2.2217338408883847,0.305,0.2,-0.335885,0,PostGuard,-0.51,-1.094945054945055,91.0,19.0,10.0,0.26373626373626374,7.0,0.3684210526315789,0.8434806867983491,4.7894736842105265,0.7142857142857143,0.5852722204160875,0.16037652029288021,0.9324999999999999,0.4,0.8,4.0,0.344,0.146,0.8,0.1235003020739148,0.33730285657543646,0.21380255450152164,1.7113086532025172,8.0,0.3539311797192463,0.1447626534693327,0.8400000000000001,5,0.21302472815049805,0.32999999999999996,0.17815021751319873,5,0.364041,0.2145298185101549,0.325,0.1484503283930352,5,0.31733500000000003,0.14884624260457496,-0.004999999999999949,-0.04670599999999997
8545,3,11,1,5,1,mid,mid_r5-8,9,9-12,5,4,5,4,9,1,0,0,0,0,1,7,2,3,8,0.048278026468469154,0,0.36143698825665305,0.3131589617881839,0,1,-1,0.3250907550165156,0.5047388229056271,0.45311285292498465,0.5386000174205652,0.5047388229056271,0.7351878820959495,103,1.39,1.36,0.029999999999999805,0.5,0.5633009708737863,-0.04,1.43,0.44999999999999996,0.8899999999999999,6,19,0.18446601941747573,1.8460400000000001,1.83303,1.82973,Draw,6,0.3106796116504854,0.3300970873786408,0.34951456310679613,0.029999999999999805,4,0,2.573324355656188,0.255,0.525,0.47513499999999986,1,Draw,1.3699999999999999,1.2128640776699027,103.0,21.0,10.0,0.2524271844660194,8.0,0.38095238095238093,0.7933621861478005,4.904761904761905,0.6990291262135923,0.5341469243349499,0.21605957924270086,1.28,0.0,0.6,15.0,1.3350000000000002,0.054999999999999806,0.8,0.3072865292450297,0.4929543465804054,0.1856678173353756,1.7602557423034326,9.2,0.40545454545454546,0.2980609195176169,0.9,5,0.09803910557406723,1.222,0.08489699641330072,5,1.371075,0.09146966710336274,1.191,0.0693181073024934,5,1.3376750000000002,0.0746846704484929,-0.030999999999999917,-0.033399999999999874
