P,subset,n,mean_A9P5N,mean_A1N,d_mean,d_median,p_less,wins_A9P5N,wins_A1N
100,all,200,0.376065,0.451125,-0.07505999999999999,-0.05750000000000002,3.2333770980428205e-05,121,76
100,ex_r1,168,0.35999404761904763,0.4536309523809524,-0.09363690476190475,-0.0605,2.2691147815096108e-05,102,66
200,all,200,0.32409999999999994,0.32862499999999994,-0.0045250000000000125,-0.03199999999999999,0.001623894786707793,120,75
200,ex_r1,168,0.2977857142857142,0.3578928571428572,-0.06010714285714287,-0.053499999999999964,3.137833661139456e-05,106,62
400,all,200,0.30498499999999995,0.26068499999999994,0.044300000000000006,0.0,0.5030568245517405,98,96
400,ex_r1,168,0.27522619047619046,0.2914940476190476,-0.016267857142857143,-0.0049999999999999906,0.11508172348469803,87,78
800,all,200,0.27716499999999994,0.21444999999999997,0.06271499999999999,0.0,0.692382630844659,97,94
800,ex_r1,168,0.2420892857142857,0.2438571428571428,-0.0017678571428571457,-0.0059999999999999915,0.17298225544126034,88,76
