game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,risk_lambda,num_candidates,num_children,q_ref_mean,q_ref_sd,q_best,regret,q_adj,q_adj_best,regret_adj
7977,6,14,AllGrid,3,200,10,42,46,"Hit(CW,3,MIDDLE)",17586,1414.03,A1,,,,-3.235,1.42119,-1.635,1.6,-3.945595,-2.371845,1.57375
3926,6,11,AllGrid,3,200,10,42,39,"Hit(CCW,0,STRONG)",62324,3862.89,A1,,,,-1.615,2.01166,0.425,2.04,-2.62083,-0.594115,2.026715
3883,1,14,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",1014,53.7248,A1,,,,-0.29,0.925149,-0.075,0.2149999999999999,-0.7525744999999999,-0.551806,0.2007684999999999
9222,7,5,AllGrid,3,200,10,42,17,"Draw(CCW,L3)",123674,4312.7,A1,,,,1.315,2.00394,1.315,0.0,0.3130299999999999,0.330065,0.0170350000000001
7881,2,15,AllGrid,3,200,10,42,84,"Hit(CW,12,WEAK)",129,9.30965,A1,,,,0.285,1.42961,1.72,1.435,-0.429805,0.6866099999999999,1.116415
6406,1,10,AllGrid,3,200,10,42,2,"Draw(CW,S0)",58176,2448.57,A1,,,,-0.7,1.82757,-0.385,0.3149999999999999,-1.613785,-1.23893,0.3748550000000001
8452,5,15,AllGrid,3,200,10,42,34,"Hit(CW,0,WEAK)",153,13.7807,A1,,,,1.32,0.6063,1.935,0.615,1.01685,1.811737,0.7948870000000001
1028,6,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",151,13.5833,A1,,,,0.77,0.668655,1.0,0.2299999999999999,0.4356725,1.0,0.5643275
2596,1,14,AllGrid,3,200,10,42,86,"Hit(CW,11,MIDDLE)",17420,1434.62,A1,,,,0.65,1.72554,1.97,1.3199999999999998,-0.21277,1.7626545,1.9754245
4748,1,3,AllGrid,3,200,10,42,42,"PostGuard(CW,3,0)",157345,5608.91,A1,,,,0.75,2.18804,0.985,0.235,-0.34402,0.0489499999999999,0.3929699999999999
9206,3,13,AllGrid,3,200,10,42,34,"Hit(CW,12,WEAK)",11157,705.979,A1,,,,1.73,1.43774,1.73,0.0,1.01113,1.01113,0.0
5859,1,6,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",117797,4710.57,A1,,,,-0.015,1.98363,-0.015,0.0,-1.006815,-1.006815,0.0
6871,4,5,AllGrid,3,200,10,42,58,"PostGuard(CW,3,0)",133485,5275.3,A1,,,,0.885,2.07889,1.32,0.435,-0.1544449999999999,0.2883,0.4427449999999999
7163,3,13,AllGrid,3,200,10,42,63,"Hit(CCW,12,TOUCH)",22700,1439.19,A1,,,,1.84,1.38723,2.465,0.6249999999999998,1.146385,1.7441,0.597715
5807,0,8,AllGrid,3,200,10,42,73,"PostGuard(CCW,4,2)",94985,4152.92,A1,,,,-0.015,2.07238,0.03,0.045,-1.0511899999999998,-1.02227,0.0289199999999998
5567,2,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",129,10.3853,A1,,,,1.535,0.999387,1.93,0.395,1.0353065,1.7758085,0.740502
2507,3,11,AllGrid,3,200,10,42,43,"Hit(CCW,4,STRONG)",55506,3041.41,A1,,,,0.45,1.86748,1.715,1.265,-0.48374,0.6236950000000001,1.1074350000000002
7006,3,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",145,13.706,A1,,,,-1.0,0.0,-0.97,0.03,-1.0,-1.0,0.0
1984,6,4,AllGrid,3,200,10,42,37,"Hit(CCW,1,MIDDLE)",144072,5499.66,A1,,,,-0.645,1.87856,-0.31,0.335,-1.58428,-1.28004,0.30424
1845,7,14,AllGrid,3,200,10,42,48,"PostGuard(CW,12,0)",2935,189.284,A1,,,,1.005,1.77904,1.44,0.435,0.1154799999999999,0.6659849999999999,0.550505
5780,2,6,AllGrid,3,200,10,42,29,"PreGuard(CCW,G4)",112099,4151.28,A1,,,,-0.51,1.86277,-0.375,0.135,-1.441385,-1.29075,0.1506349999999998
8645,7,5,AllGrid,3,200,10,42,34,"Hit(CW,0,WEAK)",133163,5392.52,A1,,,,0.92,1.96306,0.92,0.0,-0.0615299999999999,-0.0615299999999999,0.0
6132,0,13,AllGrid,3,200,10,42,2,"Draw(CW,S0)",22968,1539.56,A1,,,,1.915,1.33333,2.62,0.7050000000000001,1.248335,2.035705,0.7873700000000001
3339,4,10,AllGrid,3,200,10,42,43,"Hit(CCW,9,TOUCH)",63881,2856.6,A1,,,,-0.705,1.9514,-0.305,0.3999999999999999,-1.6807,-1.19128,0.4894199999999999
3566,6,14,AllGrid,3,200,10,42,56,"Hit(CW,7,MIDDLE)",13524,1202.16,A1,,,,0.34,1.21836,1.01,0.6699999999999999,-0.26918,1.0,1.26918
5523,3,9,AllGrid,3,200,10,42,55,"Hit(CCW,4,WEAK)",84080,4308.29,A1,,,,0.74,1.9602,0.74,0.0,-0.2400999999999999,-0.2400999999999999,0.0
7015,5,14,AllGrid,3,200,10,42,46,"Hit(CW,3,MIDDLE)",17576,1564.76,A1,,,,-3.285,0.820838,-1.135,2.1500000000000004,-3.695419,-2.098945,1.5964740000000002
743,7,3,AllGrid,3,200,10,42,1,"Draw(CCW,TEE)",158239,5897.8,A1,,,,0.59,1.97532,0.98,0.39,-0.39766,-0.0727249999999999,0.3249350000000001
1014,4,15,AllGrid,3,200,10,42,10,"Draw(CW,L0)",61,3.33136,A1,,,,3.325,1.27255,3.325,0.0,2.6887250000000003,2.6887250000000003,0.0
3900,0,10,AllGrid,3,200,10,42,38,"Hit(CW,9,STRONG)",57396,2369.1,A1,,,,-0.275,1.67014,0.305,0.5800000000000001,-1.11007,-0.5656300000000001,0.5444399999999998
4543,6,5,AllGrid,3,200,10,42,6,"Draw(CW,S4)",133670,5298.96,A1,,,,0.895,1.95805,1.09,0.195,-0.084025,0.0577800000000001,0.1418050000000001
9231,5,14,AllGrid,3,200,10,42,7,"Draw(CCW,S4)",7737,538.021,A1,,,,1.805,0.887116,2.025,0.2199999999999999,1.3614419999999998,1.620533,0.2590910000000002
1825,5,7,AllGrid,3,200,10,42,53,"PostGuard(CCW,1,0)",105656,4576.54,A1,,,,0.865,2.16259,0.865,0.0,-0.2162949999999999,-0.2135949999999999,0.0026999999999999
4062,4,15,AllGrid,3,200,10,42,35,"Hit(CCW,2,WEAK)",117,8.64169,A1,,,,-1.275,0.824242,-0.475,0.7999999999999999,-1.687121,-1.42096,0.2661609999999998
9882,2,11,AllGrid,3,200,10,42,56,"Hit(CW,6,MIDDLE)",58524,3394.56,A1,,,,0.37,1.68318,1.295,0.925,-0.4715899999999999,0.2877799999999999,0.7593699999999999
2998,6,14,AllGrid,3,200,10,42,57,"Hit(CCW,5,MIDDLE)",17252,1549.1,A1,,,,2.82,0.926067,2.895,0.0750000000000001,2.3569665,2.46373,0.1067635
1555,2,3,AllGrid,3,200,10,42,18,"Draw(CW,L4)",159359,5815.36,A1,,,,0.46,2.04167,1.1,0.6400000000000001,-0.560835,0.054775,0.61561
4372,4,14,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",2176,122.616,A1,,,,0.005,1.13357,0.095,0.09,-0.561785,-0.5266850000000001,0.0350999999999999
3732,7,7,AllGrid,3,200,10,42,21,"Draw(CCW,L5)",94018,3339.9,A1,,,,0.44,1.94072,1.125,0.685,-0.5303599999999999,0.254745,0.7851049999999999
3858,5,5,AllGrid,3,200,10,42,40,"Freeze(CW,0)",134886,5580.05,A1,,,,0.885,2.04494,0.885,0.0,-0.1374699999999999,-0.1150499999999999,0.0224199999999999
1938,0,14,AllGrid,3,200,10,42,46,"Hit(CW,11,MIDDLE)",7396,568.268,A1,,,,-0.08,1.81207,1.43,1.51,-0.986035,0.9590015,1.9450365
9112,3,9,AllGrid,3,200,10,42,55,"Hit(CCW,6,WEAK)",73944,3245.92,A1,,,,0.4,1.73205,0.76,0.36,-0.466025,-0.13746,0.328565
4157,3,12,AllGrid,3,200,10,42,34,"Hit(CW,3,WEAK)",41745,2657.17,A1,,,,-1.14,1.58127,-0.705,0.4349999999999999,-1.930635,-1.5046849999999998,0.42595
7373,1,11,AllGrid,3,200,10,42,33,"Hit(CCW,2,TOUCH)",53340,2905.23,A1,,,,1.09,1.32359,1.175,0.0849999999999999,0.428205,0.5203300000000001,0.092125
7173,4,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",151,15.8294,A1,,,,1.84,0.366606,2.0,0.1599999999999999,1.656697,2.0,0.3433029999999999
196,4,4,AllGrid,3,200,10,42,35,"Hit(CCW,3,WEAK)",144042,5190.99,A1,,,,-0.22,1.97271,-0.22,0.0,-1.206355,-1.206355,0.0
2630,2,14,AllGrid,3,200,10,42,32,"Hit(CW,11,TOUCH)",3189,183.357,A1,,,,-1.18,1.73712,-1.07,0.1099999999999998,-2.04856,-1.5130295,0.5355305000000001
5731,2,10,AllGrid,3,200,10,42,28,"PreGuard(CW,G4)",51597,1875.62,A1,,,,-1.205,1.92431,-0.555,0.65,-2.167155,-1.26157,0.905585
9518,4,5,AllGrid,3,200,10,42,48,"Hit(CW,2,STRONG)",132772,5219.95,A1,,,,0.655,1.89102,0.985,0.3299999999999999,-0.2905099999999999,0.0096899999999999,0.3001999999999999
8211,7,12,AllGrid,3,200,10,42,69,"Hit(CCW,11,STRONG)",34153,1816.05,A1,,,,-1.18,1.57721,-0.815,0.365,-1.968605,-1.69403,0.274575
5392,3,13,AllGrid,3,200,10,42,86,"Hit(CW,10,MIDDLE)",36485,2704.52,A1,0.0,,,-1.64,1.95714,-1.005,0.635,-2.61857,-1.7931899999999998,0.8253800000000002
4262,4,2,AllGrid,3,200,10,42,47,"PostGuard(CCW,0,2)",173628,6515.62,A1,0.0,,,-0.65,2.23998,-0.465,0.185,-1.76999,-1.40741,0.3625799999999999
6230,1,12,AllGrid,3,200,10,42,35,"Hit(CCW,11,WEAK)",25708,1146.51,A1,0.0,,,-0.215,1.43484,-0.215,0.0,-0.93242,-0.93242,0.0
3543,4,7,AllGrid,3,200,10,42,34,"Hit(CW,2,WEAK)",96015,3626.93,A1,0.0,,,0.86,1.87894,1.025,0.1649999999999999,-0.07947,0.049295,0.1287650000000001
1784,6,5,AllGrid,3,200,10,42,38,"Hit(CW,0,STRONG)",133030,5405.24,A1,0.0,,,0.86,2.02741,1.05,0.19,-0.1537050000000001,0.0025399999999999,0.156245
4905,4,14,AllGrid,3,200,10,42,11,"Draw(CCW,L0)",8047,519.038,A1,0.0,,,-1.68,1.66961,-1.65,0.03,-2.514805,-2.110299,0.404506
3837,2,10,AllGrid,3,200,10,42,42,"Hit(CW,9,TOUCH)",62221,2848.96,A1,0.0,,,-0.745,1.76351,-0.455,0.29,-1.626755,-1.330315,0.2964399999999998
2854,0,15,AllGrid,3,200,10,42,57,"Hit(CCW,12,MIDDLE)",103,6.87857,A1,0.0,,,-0.825,1.20182,1.18,2.005,-1.42591,1.0,2.42591
1221,1,10,AllGrid,3,200,10,42,65,"Hit(CCW,7,WEAK)",73552,3966.9,A1,0.0,,,-1.245,2.07725,-0.575,0.6700000000000002,-2.283625,-1.56424,0.7193849999999999
7301,6,14,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",17090,1312.26,A1,0.0,,,0.875,1.39261,1.985,1.11,0.178695,1.8847065,1.7060115
5248,0,3,AllGrid,3,200,10,42,39,"Hit(CCW,2,STRONG)",159395,5985.2,A1,0.0,,,0.97,2.09502,1.33,0.3600000000000001,-0.0775099999999999,0.3162100000000001,0.39372
2545,3,15,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",61,3.48684,A1,0.0,,,2.98,0.14,2.98,0.0,2.91,2.91,0.0
6335,1,11,AllGrid,3,200,10,42,42,"Hit(CW,10,TOUCH)",36342,1435.55,A1,0.0,,,0.24,1.59135,1.125,0.885,-0.555675,0.3767749999999999,0.93245
8275,4,5,AllGrid,3,200,10,42,47,"Hit(CCW,2,MIDDLE)",132110,5330.96,A1,0.0,,,0.42,1.97828,1.005,0.585,-0.56914,0.037675,0.606815
963,5,13,AllGrid,3,200,10,42,45,"Hit(CCW,10,WEAK)",22126,1438.59,A1,0.0,,,0.86,2.07374,1.235,0.3750000000000001,-0.1768699999999999,0.508345,0.685215
176,5,11,AllGrid,3,200,10,42,43,"Hit(CCW,6,TOUCH)",55554,2957.1,A1,0.0,,,1.285,2.03808,1.585,0.3,0.26596,0.668105,0.402145
2199,1,13,AllGrid,3,200,10,42,75,"Hit(CCW,10,WEAK)",30562,2173.58,A1,0.0,,,-0.3,2.01742,0.25,0.55,-1.30871,-0.524195,0.7845150000000001
8298,3,11,AllGrid,3,200,10,42,66,"Hit(CW,6,MIDDLE)",60836,3496.68,A1,0.0,,,-0.225,2.16665,1.185,1.41,-1.3083250000000002,0.1517049999999999,1.4600300000000002
6729,2,14,AllGrid,3,200,10,42,0,"Draw(CW,TEE)",14943,1135.61,A1,0.0,,,0.62,1.07963,0.665,0.045,0.0801849999999999,0.14232,0.062135
8119,5,4,AllGrid,3,200,10,42,3,"Draw(CCW,S0)",147880,5872.49,A1,0.0,,,-0.285,2.06489,-0.18,0.1049999999999999,-1.317445,-1.19089,0.1265549999999999
8189,0,14,AllGrid,3,200,10,42,34,"Hit(CW,13,WEAK)",3138,192.723,A1,0.0,,,-0.055,1.26173,0.025,0.08,-0.6858650000000001,-0.65771,0.028155
9791,0,8,AllGrid,3,200,10,42,37,"Hit(CCW,7,MIDDLE)",87197,3438.17,A1,0.0,,,-0.455,1.6577,-0.11,0.345,-1.28385,-1.051795,0.2320549999999999
5487,5,5,AllGrid,3,200,10,42,53,"PostGuard(CCW,1,0)",132724,5484.84,A1,0.0,,,0.67,2.10739,1.085,0.4149999999999999,-0.383695,0.0320899999999999,0.4157849999999999
4950,0,15,AllGrid,3,200,10,42,35,"Hit(CCW,12,WEAK)",71,4.42283,A1,0.0,,,-0.6,1.02956,0.83,1.43,-1.11478,0.0097699999999999,1.1245500000000002
9143,3,7,AllGrid,3,200,10,42,3,"Draw(CCW,S0)",107454,4563.75,A1,0.0,,,0.475,1.84374,1.135,0.66,-0.44687,0.14546,0.59233
