arm,method,depth,playouts,rollouts,n,mean_regret,sd_regret,mean_q,mean_sims,min_sims,max_sims,mean_time
A1N,AllGrid,3,800,10,1000,0.21445000000000003,0.21670257845145163,0.6089249999999999,235726.489,843,686517,13763.7925888
A9P5N,ClusterValue,3,800,10,1000,0.277165,0.36636055714668964,0.5462100000000001,219892.452,843,679424,10332.604479599999
