game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children,arm,q_ref_mean,q_ref_sd,q_best,regret
7977,6,14,AllGrid,3,800,10,42,98,"Hit(CW,13,STRONG)",19186,1960.73,0,145,145,A1N,-2.785,1.93359,-1.635,1.1500000000000001
3926,6,11,AllGrid,3,800,10,42,65,"Hit(CCW,6,WEAK)",210935,17283.9,0,123,123,A1N,0.32,1.88881,0.425,0.10499999999999998
3883,1,14,AllGrid,3,800,10,42,0,"Draw(CW,TEE)",2614,127.57,0,37,37,A1N,-0.29,0.925149,-0.075,0.21499999999999997
9222,7,5,AllGrid,3,800,10,42,8,"Draw(CW,S6)",491557,24525.3,0,37,37,A1N,1.17,1.98774,1.315,0.14500000000000002
7881,2,15,AllGrid,3,800,10,42,86,"Hit(CW,12,MIDDLE)",929,48.4669,0,129,129,A1N,1.48,2.06388,1.72,0.24
6406,1,10,AllGrid,3,800,10,42,6,"Draw(CW,S4)",224872,12298.6,0,59,59,A1N,-0.435,1.88037,-0.385,0.04999999999999999
8452,5,15,AllGrid,3,800,10,42,87,"Hit(CCW,10,MIDDLE)",953,64.8012,0,153,153,A1N,1.93,0.255147,1.935,0.0050000000000001155
1028,6,15,AllGrid,3,800,10,42,0,"Draw(CW,TEE)",951,62.2766,0,151,151,A1N,0.77,0.668655,1.0,0.22999999999999998
2596,1,14,AllGrid,3,800,10,42,45,"Hit(CCW,3,WEAK)",19020,2018.16,0,145,145,A1N,1.385,1.7137,1.97,0.585
4748,1,3,AllGrid,3,800,10,42,35,"Hit(CCW,0,WEAK)",619852,26264.1,0,49,49,A1N,0.88,2.1132,0.985,0.10499999999999998
9206,3,13,AllGrid,3,800,10,42,35,"Hit(CCW,12,WEAK)",27860,2255.56,0,49,49,A1N,1.635,1.47369,1.73,0.09499999999999997
5859,1,6,AllGrid,3,800,10,42,32,"Hit(CW,1,TOUCH)",461152,24601.6,0,65,65,A1N,-0.26,1.93194,-0.015,0.245
6871,4,5,AllGrid,3,800,10,42,55,"PostGuard(CCW,1,1)",518497,29392.5,0,71,71,A1N,0.715,2.04053,1.32,0.6050000000000001
7163,3,13,AllGrid,3,800,10,42,3,"Draw(CCW,S0)",56869,5217.73,0,85,85,A1N,1.735,1.49492,2.465,0.7299999999999998
5807,0,8,AllGrid,3,800,10,42,70,"PostGuard(CW,4,1)",366115,18992.3,0,81,81,A1N,-0.265,2.04078,0.03,0.29500000000000004
5567,2,15,AllGrid,3,800,10,42,6,"Draw(CW,S4)",929,57.6689,0,129,129,A1N,1.875,0.478931,1.93,0.05499999999999994
2507,3,11,AllGrid,3,800,10,42,40,"Hit(CW,4,MIDDLE)",175922,12156.4,0,107,107,A1N,1.665,2.33298,1.715,0.050000000000000044
7006,3,15,AllGrid,3,800,10,42,49,"Hit(CCW,4,STRONG)",945,67.4821,0,145,145,A1N,-0.97,0.314802,-0.97,0.0
1984,6,4,AllGrid,3,800,10,42,33,"Hit(CCW,1,TOUCH)",570121,31592.4,0,59,59,A1N,-0.65,1.94872,-0.31,0.34
1845,7,14,AllGrid,3,800,10,42,44,"PostGuard(CW,10,1)",4535,325.71,0,55,55,A1N,1.44,1.54803,1.44,0.0
5780,2,6,AllGrid,3,800,10,42,45,"PostGuard(CCW,0,1)",445521,24152.2,0,49,49,A1N,-0.555,2.12061,-0.375,0.18000000000000005
8645,7,5,AllGrid,3,800,10,42,43,"Hit(CCW,2,TOUCH)",521245,30664.8,0,71,71,A1N,0.71,1.95599,0.92,0.21000000000000008
6132,0,13,AllGrid,3,800,10,42,77,"PostGuard(CCW,9,1)",74257,7011.69,0,87,87,A1N,2.36,1.2963,2.62,0.26000000000000023
3339,4,10,AllGrid,3,800,10,42,42,"Hit(CW,9,TOUCH)",236204,14115.4,0,71,71,A1N,-0.5,1.88944,-0.305,0.195
3566,6,14,AllGrid,3,800,10,42,67,"Hit(CCW,9,MIDDLE)",15124,1567.93,0,129,129,A1N,0.69,1.51456,1.01,0.32000000000000006
5523,3,9,AllGrid,3,800,10,42,55,"Hit(CCW,4,WEAK)",301547,20397.1,0,103,103,A1N,0.74,1.9602,0.74,0.0
7015,5,14,AllGrid,3,800,10,42,11,"Draw(CCW,L0)",19176,2065.62,0,145,145,A1N,-1.135,1.92789,-1.135,0.0
743,7,3,AllGrid,3,800,10,42,21,"Draw(CCW,L5)",621241,33939.2,0,55,55,A1N,0.93,2.18977,0.98,0.04999999999999993
1014,4,15,AllGrid,3,800,10,42,10,"Draw(CW,L0)",861,43.0571,0,61,61,A1N,3.325,1.27255,3.325,0.0
3900,0,10,AllGrid,3,800,10,42,40,"Freeze(CW,9)",222670,12386.5,0,55,55,A1N,-0.02,1.70282,0.305,0.325
