game_id,end,shot_num,candidate_idx,label,shot_type,q_ref_mean,q_ref_sd,n_rollouts,resampled,score_hist,q_immediate_mean
7977,6,14,0,"Draw(CW,TEE)",1,-2.63,1.42937,200,1,"-6:2;-4:92;-3:11;-2:18;-1:77",-3.015
7977,6,14,1,"Draw(CCW,TEE)",1,-2.75,1.4586,200,1,"-7:1;-6:1;-5:10;-4:81;-3:16;-2:24;-1:67",-2.5
7977,6,14,2,"Draw(CW,S0)",1,-3.015,1.45766,200,1,"-6:3;-5:8;-4:110;-3:9;-2:8;-1:62",-3.68
7977,6,14,3,"Draw(CCW,S0)",1,-2.835,1.59618,200,1,"-7:1;-6:3;-5:17;-4:77;-3:21;-2:11;-1:67;1:3",-2.66
7977,6,14,4,"Draw(CW,S2)",1,-3.2,1.28841,200,1,"-6:1;-5:4;-4:127;-3:15;-2:8;-1:45",-3.935
7977,6,14,5,"Draw(CCW,S2)",1,-2.97,1.3708,200,1,"-5:2;-4:120;-3:7;-2:12;-1:59",-4
7977,6,14,6,"Draw(CW,S4)",1,-3.095,1.35867,200,1,"-6:3;-5:3;-4:118;-3:12;-2:14;-1:50",-3.49
7977,6,14,7,"Draw(CCW,S4)",1,-2.67,1.69443,200,1,"-7:3;-6:1;-5:13;-4:75;-3:14;-2:24;-1:61;1:9",-2.63
7977,6,14,8,"Draw(CW,S6)",1,-3.095,1.36601,200,1,"-6:2;-5:3;-4:122;-3:12;-2:7;-1:54",-4
7977,6,14,9,"Draw(CCW,S6)",1,-3.02,1.17881,200,1,"-5:1;-4:109;-3:12;-2:49;-1:29",-3.525
7977,6,14,10,"Draw(CW,L0)",1,-3.33,1.1921,200,1,"-5:3;-4:140;-3:11;-2:14;-1:31;1:1",-3.905
7977,6,14,11,"Draw(CCW,L0)",1,-3.31,1.32057,200,1,"-5:14;-4:123;-3:15;-2:13;-1:32;1:3",-3.47
7977,6,14,12,"Draw(CW,L1)",1,-2.925,1.1702,200,1,"-5:3;-4:78;-3:60;-2:21;-1:37;1:1",-3.36
7977,6,14,13,"Draw(CCW,L1)",1,-3.2,1.26886,200,1,"-5:1;-4:136;-3:11;-2:6;-1:46",-4
7977,6,14,14,"Draw(CW,L2)",1,-3.105,1.32815,200,1,"-6:1;-5:1;-4:127;-3:12;-2:7;-1:52",-4
7977,6,14,15,"Draw(CCW,L2)",1,-3.165,1.34081,200,1,"-6:1;-5:3;-4:133;-3:5;-2:7;-1:51",-4
7977,6,14,16,"Draw(CW,L3)",1,-3.145,1.30919,200,1,"-5:5;-4:125;-3:12;-2:10;-1:48",-4
7977,6,14,17,"Draw(CCW,L3)",1,-3.14,1.33056,200,1,"-6:1;-5:2;-4:130;-3:9;-2:7;-1:51",-4
7977,6,14,18,"Draw(CW,L4)",1,-3.78,0.866949,200,1,"-7:1;-6:2;-5:3;-4:170;-3:7;-2:4;-1:13",-4
7977,6,14,19,"Draw(CCW,L4)",1,-3.765,0.76143,200,1,"-6:1;-5:1;-4:174;-3:8;-2:6;-1:10",-4
7977,6,14,20,"Draw(CW,L5)",1,-3.3,1.29228,200,1,"-6:2;-5:5;-4:135;-3:11;-2:3;-1:44",-4
7977,6,14,21,"Draw(CCW,L5)",1,-3.08,1.40129,200,1,"-6:3;-5:2;-4:124;-3:7;-2:7;-1:57",-4
7977,6,14,22,"Draw(CW,L6)",1,-3.2,1.31149,200,1,"-6:1;-5:2;-4:135;-3:9;-2:4;-1:49",-4
7977,6,14,23,"Draw(CCW,L6)",1,-3.415,1.18439,200,1,"-6:3;-5:1;-4:145;-3:11;-2:7;-1:33",-4
7977,6,14,24,"Draw(CW,L7)",1,-3.25,1.25599,200,1,"-5:4;-4:134;-3:13;-2:6;-1:43",-4
7977,6,14,25,"Draw(CCW,L7)",1,-2.18,0.96312,200,1,"-5:2;-4:33;-3:3;-2:123;-1:39",-2.46
7977,6,14,26,"PreGuard(CW,G3)",2,-3.04,1.35218,200,1,"-6:1;-5:3;-4:117;-3:16;-2:8;-1:55",-4
7977,6,14,27,"PreGuard(CCW,G3)",2,-3.015,1.38375,200,1,"-6:1;-5:3;-4:118;-3:14;-2:4;-1:60",-4
7977,6,14,28,"PreGuard(CW,G4)",2,-3.64,0.922171,200,1,"-4:172;-3:2;-2:8;-1:18",-4
7977,6,14,29,"PreGuard(CCW,G4)",2,-3.71,0.869425,200,1,"-4:179;-3:2;-2:1;-1:18",-4
7977,6,14,30,"PreGuard(CW,G5)",2,-3.21,1.26329,200,1,"-4:140;-3:7;-2:8;-1:45",-4
7977,6,14,31,"PreGuard(CCW,G5)",2,-3.335,1.20531,200,1,"-6:2;-4:141;-3:14;-2:6;-1:37",-4
7977,6,14,32,"Hit(CW,1,TOUCH)",3,-3.5,1.08167,200,1,"-5:4;-4:154;-3:6;-2:10;-1:26",-3.93
7977,6,14,33,"Hit(CCW,1,TOUCH)",3,-3.795,1.176,200,1,"-6:2;-5:40;-4:122;-3:11;-2:3;-1:21;1:1",-4.055
7977,6,14,34,"Hit(CW,1,WEAK)",3,-2.14,1.53636,200,1,"-7:1;-5:9;-4:32;-3:27;-2:76;-1:35;1:20",-2.73
7977,6,14,35,"Hit(CCW,1,WEAK)",3,-2.615,1.47539,200,1,"-5:12;-4:64;-3:35;-2:25;-1:58;1:6",-2.72
7977,6,14,36,"Hit(CW,1,MIDDLE)",3,-2.46,1.52591,200,1,"-6:3;-5:16;-4:36;-3:39;-2:45;-1:52;1:9",-2.43
7977,6,14,37,"Hit(CCW,1,MIDDLE)",3,-1.755,1.48828,200,1,"-6:1;-5:4;-4:17;-3:40;-2:49;-1:65;1:22;2:2",-1.825
7977,6,14,38,"Hit(CW,1,STRONG)",3,-2.4,1.54596,200,1,"-6:2;-5:13;-4:37;-3:47;-2:39;-1:49;1:13",-2.335
7977,6,14,39,"Hit(CCW,1,STRONG)",3,-1.765,1.55556,200,1,"-5:5;-4:22;-3:44;-2:35;-1:66;1:28",-1.79
7977,6,14,40,"Freeze(CW,1)",4,-3.52,1.03904,200,1,"-5:3;-4:155;-3:8;-2:11;-1:23",-3.94
7977,6,14,41,"Freeze(CCW,1)",4,-3.825,0.95623,200,1,"-6:2;-5:25;-4:142;-3:11;-2:7;-1:13",-3.985
7977,6,14,42,"Hit(CW,3,TOUCH)",3,-3.325,1.26861,200,1,"-6:4;-5:3;-4:134;-3:9;-2:13;-1:37",-3.845
7977,6,14,43,"Hit(CCW,3,TOUCH)",3,-3.18,1.57721,200,1,"-7:1;-5:37;-4:83;-3:11;-2:17;-1:48;1:3",-3.12
