game,a_hammer_end0,net_end0,net_end1,net_a
0,0,1,2,3
1,1,1,5,6
2,0,-1,1,0
3,1,-1,-1,-2
4,0,-1,3,2
5,1,2,1,3
6,0,2,-2,0
7,1,-1,-1,-2
8,0,1,-3,-2
9,1,1,-2,-1
10,0,2,2,4
11,1,1,-4,-3
12,0,1,-1,0
13,1,2,1,3
14,0,1,2,3
15,1,1,-1,0
16,0,-3,-1,-4
17,1,1,-1,0
