game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-3,2,-1
1,1,-1,-1,-2
2,0,-1,1,0
3,1,-2,2,0
4,0,-3,1,-2
5,1,4,-2,2
6,0,2,-1,1
7,1,-1,-1,-2
8,0,-3,1,-2
9,1,3,-1,2
10,0,-2,-2,-4
11,1,-1,2,1
12,0,-1,1,0
13,1,3,-2,1
14,0,-2,1,-1
15,1,-1,-1,-2
16,0,-5,3,-2
17,1,-1,1,0
