game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-4,1,-3
1,1,-1,-1,-2
2,0,-4,-2,-6
3,1,-2,1,-1
4,0,-2,1,-1
5,1,-3,2,-1
6,0,-2,3,1
7,1,-1,2,1
8,0,-2,1,-1
9,1,-2,1,-1
10,0,-1,-1,-2
11,1,-4,2,-2
