arm,method,depth,playouts,rollouts,n,mean_regret,sd_regret,mean_q,mean_sims,min_sims,max_sims,mean_time
A1,AllGrid,3,200,10,250,0.7807999999999999,0.8018208194515931,-0.009600000000000001,154412.176,33772,257114,8083.610519999999
A2,Proposed,3,200,10,250,0.7688200000000001,0.7427822084816973,0.0023800000000000006,148521.3,22959,250949,7484.62184
A5,RandomK,3,200,10,250,0.7379399999999999,0.7414368285179332,0.033260000000000005,148545.712,20783,252019,7610.854
A7,ScoreScreen,3,200,10,250,0.5538200000000001,0.5564818016632073,0.21738,150641.768,22156,242669,7507.25256
A8,ScoreTopK,3,200,10,250,0.5714600000000001,0.5879558971111621,0.19974,150923.532,23092,243726,14010.71484
A9,ClusterValue,3,200,10,250,0.63562,0.7013013689136509,0.13558,150945.524,23365,242943,5927.266328
