arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1,A11a,-0.009328000000000006,-0.0361281,0.017680049999999985,0.5580993087854862,1.0,207,249,44,-0.030223493289091706,8593.476550931942
A1,A11b,-0.006870000000000004,-0.03246010000000001,0.019046349999999993,0.6828068862098433,1.0,216,238,46,-0.022993832686721595,14846.161982749567
A1,A1N,0.08444199999999999,0.05619739999999999,0.1143723,2.2259324850150365e-05,0.00046744582185315767,209,284,7,0.25643354446956534,120.35977844558685
A1,A2,-0.070138,-0.11014085000000001,-0.03039355000000001,0.015070498265745443,0.18084597918894532,244,220,36,-0.15225821503256032,339.56823253661287
A1,A5,-0.07293999999999999,-0.10459824999999999,-0.041111200000000014,2.0113986877594725e-06,5.0284967193986815e-05,293,204,3,-0.20334611253329143,190.81735882013606
A1,A9,-0.024178000000000005,-0.05010475000000001,0.002880849999999978,0.08360343422082032,0.6688274737665626,239,220,41,-0.07968172976689733,1237.2040663928594
A1,A9P5,-0.005229999999999999,-0.03214675,0.021516399999999988,0.7980618758627741,1.0,219,240,41,-0.017522997022605555,25562.768671526464
A1,A9P5N,0.1092,0.08231385,0.13752825,2.41749724283065e-12,7.010742004208885e-11,171,305,24,0.34818596691034964,65.74185629392036
A11a,A11b,0.0024580000000000045,-0.009568649999999995,0.014364149999999997,0.6312780264199505,1.0,219,211,70,0.01808107910005543,24009.16583855242
A11a,A1N,0.09376999999999999,0.06379735,0.12570445,0.0001893187612912885,0.0028397814193693274,230,264,6,0.26214098059262636,115.21886369105196
A11a,A2,-0.06081,-0.09313220000000001,-0.030856,5.78839193692275e-05,0.001041910548646095,262,195,43,-0.1715108515231456,267.82374063997213
A11a,A5,-0.06361199999999999,-0.09165934999999999,-0.03550110000000001,2.5929106693999235e-06,5.963694539619824e-05,290,203,7,-0.1994676883582907,198.2706907670733
A11a,A9,-0.014849999999999997,-0.030438299999999995,0.0007742000000000058,0.027168159338055154,0.2988497527186067,245,206,49,-0.08335924862637666,1130.5360383295229
A11a,A9P5,0.004098000000000008,-0.01112054999999999,0.019272050000000002,0.8347746714753339,1.0,217,230,53,0.02364737581471939,14036.948554300117
A11a,A9P5N,0.11852800000000001,0.09314795,0.14520855000000002,2.7150756713566386e-17,8.41673458120558e-16,165,308,27,0.395849445639074,51.0896033306317
A11b,A1N,0.091312,0.062021549999999995,0.12211409999999998,3.248550655115105e-05,0.0006497101310230211,221,273,6,0.261588254988509,115.70205348729537
A11b,A2,-0.063268,-0.09556619999999999,-0.032803849999999996,0.0001278143819883391,0.0021728444938017644,264,195,41,-0.17460821075425312,258.4413774526329
A11b,A5,-0.06606999999999999,-0.09432805,-0.03822705000000003,2.1668386841720894e-06,5.200412842013015e-05,290,206,4,-0.20648344638957378,185.09296557849007
A11b,A9,-0.017308000000000004,-0.03253810000000001,-0.00195775000000001,0.03718967401442518,0.37189674014425184,242,208,50,-0.09806414036062261,817.182395968019
A11b,A9P5,0.0016400000000000058,-0.01309205,0.01621805,0.601207536292354,1.0,220,231,49,0.009811253386974658,81538.74388928757
A11b,A9P5N,0.11606999999999999,0.09145734999999999,0.14141804999999996,9.177901427034839e-18,2.9369284566511484e-16,160,314,26,0.4056919512576661,48.68863496621316
A1N,A2,-0.15458,-0.19779399999999997,-0.11414320000000001,8.004312435233325e-10,2.241207481865331e-08,297,199,4,-0.32008008447276975,77.6108654776428
A1N,A5,-0.157382,-0.1886791,-0.12763919999999998,3.0959250711732255e-21,1.0216552734871644e-19,328,169,3,-0.44583466641960173,40.48753332948296
A1N,A9,-0.10862000000000001,-0.1401535,-0.07874910000000002,4.6448793719837525e-09,1.2541174304356132e-07,291,203,6,-0.30867654542932765,83.3759454693269
A1N,A9P5,-0.089672,-0.12182399999999999,-0.05942875000000001,0.00013236811397569545,0.0021728444938017644,274,220,6,-0.25383558518112515,122.81553113762916
A1N,A9P5N,0.024758000000000006,-6.439999999998796e-05,0.04679045,1.2909176078368362e-05,0.00028400187372410395,198,297,5,0.09262805806757782,915.7924173774256
A2,A5,-0.0028020000000000033,-0.0338665,0.028908150000000007,0.27128291928275083,1.0,264,233,3,-0.007822680602054415,128262.54814102488
A2,A9,0.04596,0.013668949999999992,0.0798561,0.040073364866237124,0.37189674014425184,216,259,25,0.12119917553059241,535.3285053941747
A2,A9P5,0.06490800000000002,0.032545000000000004,0.09855634999999997,5.085511936261033e-05,0.0009662472678895963,201,276,23,0.1703643582218634,271.42708789278385
A2,A9P5N,0.17933800000000003,0.1454004,0.21480155,3.62636467916978e-23,1.2329639909177251e-21,156,333,11,0.4441570899201315,40.78638461279295
A5,A9,0.04876199999999999,0.02142975,0.0769007,0.0013297047363246078,0.0172861615722199,218,278,4,0.15444914481014174,330.03087978139155
A5,A9P5,0.06771,0.04066140000000001,0.09497019999999999,5.398434142864033e-08,1.4035928771446485e-06,191,306,3,0.21963798145930516,163.70196088193762
A5,A9P5N,0.18214000000000002,0.1549776,0.21049914999999997,1.9856770727046105e-36,7.148437461736598e-35,126,370,4,0.57506918663305,24.733810960756216
A9,A9P5,0.018948000000000007,0.005572000000000008,0.032024449999999996,0.0004839357072142697,0.006775099900999775,187,267,46,0.12720789088492687,486.042250750669
A9,A9P5N,0.133378,0.10869290000000001,0.15908389999999997,5.970569886388133e-25,2.0896994602358466e-23,141,335,24,0.4616936906327972,37.821357466337425
A9P5,A9P5N,0.11443,0.0898317,0.14059605,3.3127151250693594e-16,9.938145375208078e-15,170,304,26,0.3938524880359198,51.59883153746314
