game,a_hammer_end0,net_end0,net_end1,net_a
0,0,2,-1,1
1,1,-1,-1,-2
2,0,1,-2,-1
3,1,-1,3,2
4,0,-5,-1,-6
5,1,1,-2,-1
6,0,-2,-3,-5
7,1,-1,1,0
8,0,-3,1,-2
9,1,-1,2,1
10,0,-2,1,-1
11,1,1,-1,0
