game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-1,-1,-2
1,1,-2,2,0
2,0,3,2,5
3,1,2,1,3
4,0,2,1,3
5,1,-2,-1,-3
6,0,1,-1,0
7,1,1,1,2
8,0,-1,-1,-2
9,1,-1,3,2
10,0,2,-1,1
11,1,3,-1,2
12,0,4,2,6
13,1,-1,3,2
14,0,1,-2,-1
15,1,6,3,9
16,0,-1,2,1
17,1,-1,3,2
18,0,1,2,3
19,1,1,-1,0
20,0,3,-1,2
21,1,4,-4,0
22,0,1,-3,-2
23,1,-1,3,2
