game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-1,1,0
1,1,-2,3,1
2,0,2,-1,1
3,1,2,-1,1
4,0,-1,2,1
5,1,1,-1,0
6,0,-1,-1,-2
7,1,-1,2,1
8,0,-1,1,0
9,1,1,-2,-1
10,0,-2,1,-1
11,1,1,-1,0
12,0,-1,2,1
13,1,-1,4,3
14,0,1,1,2
15,1,-1,3,2
