game,a_hammer_end0,net_end0,net_end1,net_a
0,0,2,1,3
1,1,-1,1,0
2,0,2,-1,1
3,1,6,1,7
4,0,1,4,5
5,1,1,1,2
6,0,1,3,4
7,1,1,-2,-1
8,0,1,2,3
9,1,1,1,2
10,0,-1,2,1
11,1,2,1,3
12,0,2,3,5
13,1,2,1,3
14,0,-1,2,1
15,1,2,-2,0
16,0,-2,2,0
17,1,-1,3,2
