game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-1,1,0
1,1,-1,7,6
2,0,4,1,5
3,1,1,2,3
4,0,-1,1,0
5,1,3,5,8
6,0,4,2,6
7,1,1,1,2
8,0,-1,2,1
9,1,1,-2,-1
10,0,1,3,4
11,1,4,1,5
12,0,-3,3,0
13,1,1,-1,0
14,0,1,1,2
15,1,1,2,3
