game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda,num_candidates,num_children,arm,q_ref_mean,q_ref_sd,q_best,regret
7977,6,14,AllGrid,3,100,10,42,38,"Hit(CW,1,STRONG)",12170,1522.87,0,145,145,A1N,-2.44,1.48876,-1.635,0.8049999999999999
3926,6,11,AllGrid,3,100,10,42,78,"Hit(CW,8,STRONG)",36045,3788.12,0,123,123,A1N,0.425,2.03823,0.425,0.0
3883,1,14,AllGrid,3,100,10,42,1,"Draw(CCW,TEE)",1214,102.294,0,37,37,A1N,-0.075,0.953612,-0.075,0.0
9222,7,5,AllGrid,3,100,10,42,4,"Draw(CW,S2)",62186,3866.9,0,37,37,A1N,1.29,1.91987,1.315,0.02499999999999991
7881,2,15,AllGrid,3,100,10,42,46,"Hit(CW,4,MIDDLE)",229,20.2894,0,129,129,A1N,-0.03,1.3961,1.72,1.75
6406,1,10,AllGrid,3,100,10,42,6,"Draw(CW,S4)",30881,2258.48,0,59,59,A1N,-0.435,1.88037,-0.385,0.04999999999999999
8452,5,15,AllGrid,3,100,10,42,34,"Hit(CW,0,WEAK)",253,25.959,0,153,153,A1N,1.32,0.6063,1.935,0.615
1028,6,15,AllGrid,3,100,10,42,0,"Draw(CW,TEE)",251,26.6396,0,151,151,A1N,0.77,0.668655,1.0,0.22999999999999998
2596,1,14,AllGrid,3,100,10,42,86,"Hit(CW,11,MIDDLE)",12163,1535.8,0,145,145,A1N,0.65,1.72554,1.97,1.3199999999999998
4748,1,3,AllGrid,3,100,10,42,33,"Hit(CCW,0,TOUCH)",79554,5123.05,0,49,49,A1N,0.935,1.98009,0.985,0.04999999999999993
9206,3,13,AllGrid,3,100,10,42,34,"Hit(CW,12,WEAK)",7434,722.634,0,49,49,A1N,1.73,1.43774,1.73,0.0
5859,1,6,AllGrid,3,100,10,42,52,"PostGuard(CW,2,0)",60984,4286.85,0,65,65,A1N,-0.62,1.91458,-0.015,0.605
6871,4,5,AllGrid,3,100,10,42,45,"Hit(CCW,2,WEAK)",68883,4815.87,0,71,71,A1N,0.83,2.15664,1.32,0.4900000000000001
7163,3,13,AllGrid,3,100,10,42,71,"Freeze(CCW,12)",14536,1540.08,0,85,85,A1N,1.05,1.84594,2.465,1.4149999999999998
5807,0,8,AllGrid,3,100,10,42,71,"PostGuard(CCW,4,1)",50762,3952.7,0,81,81,A1N,-0.035,2.09136,0.03,0.065
5567,2,15,AllGrid,3,100,10,42,0,"Draw(CW,TEE)",229,20.5969,0,129,129,A1N,1.535,0.999387,1.93,0.395
2507,3,11,AllGrid,3,100,10,42,58,"Hit(CW,8,WEAK)",33108,3185.04,0,107,107,A1N,1.355,2.3171,1.715,0.3600000000000001
7006,3,15,AllGrid,3,100,10,42,0,"Draw(CW,TEE)",245,26.9753,0,145,145,A1N,-1.0,0.0,-0.97,0.030000000000000027
1984,6,4,AllGrid,3,100,10,42,19,"Draw(CCW,L4)",73802,4920.3,0,59,59,A1N,-0.925,2.11881,-0.31,0.615
1845,7,14,AllGrid,3,100,10,42,48,"PostGuard(CW,12,0)",3135,285.709,0,55,55,A1N,1.005,1.77904,1.44,0.43500000000000005
5780,2,6,AllGrid,3,100,10,42,44,"PostGuard(CW,0,1)",56920,3632.95,0,49,49,A1N,-0.69,2.05521,-0.375,0.31499999999999995
8645,7,5,AllGrid,3,100,10,42,49,"Hit(CCW,2,STRONG)",69364,5079.45,0,71,71,A1N,0.35,2.03899,0.92,0.5700000000000001
6132,0,13,AllGrid,3,100,10,42,6,"Draw(CW,S4)",15499,1657.69,0,87,87,A1N,1.885,1.26956,2.62,0.7350000000000001
3339,4,10,AllGrid,3,100,10,42,2,"Draw(CW,S0)",34736,2681.47,0,71,71,A1N,-0.67,2.02017,-0.305,0.36500000000000005
3566,6,14,AllGrid,3,100,10,42,37,"Hit(CCW,1,MIDDLE)",10507,1356.23,0,129,129,A1N,0.62,1.19398,1.01,0.39
5523,3,9,AllGrid,3,100,10,42,37,"Hit(CCW,0,MIDDLE)",45600,4124.02,0,103,103,A1N,0.295,1.93338,0.74,0.445
7015,5,14,AllGrid,3,100,10,42,25,"Draw(CCW,L7)",12005,1541.7,0,145,145,A1N,-3.34,0.907965,-1.135,2.205
743,7,3,AllGrid,3,100,10,42,33,"Hit(CCW,0,TOUCH)",80819,5384.7,0,55,55,A1N,0.81,1.8259,0.98,0.16999999999999993
1014,4,15,AllGrid,3,100,10,42,2,"Draw(CW,S0)",161,11.2856,0,61,61,A1N,1.655,1.8644,3.325,1.6700000000000002
3900,0,10,AllGrid,3,100,10,42,2,"Draw(CW,S0)",30974,2289.22,0,55,55,A1N,0.025,1.86932,0.305,0.27999999999999997
4543,6,5,AllGrid,3,100,10,42,18,"Draw(CW,L4)",69248,5035.63,0,71,71,A1N,0.345,2.01146,1.09,0.7450000000000001
9231,5,14,AllGrid,3,100,10,42,39,"Hit(CCW,3,STRONG)",7844,892.984,0,101,101,A1N,1.385,0.983247,2.025,0.6399999999999999
1825,5,7,AllGrid,3,100,10,42,43,"Hit(CCW,4,TOUCH)",55881,4253.23,0,77,77,A1N,0.235,2.07118,0.865,0.63
4062,4,15,AllGrid,3,100,10,42,34,"Hit(CW,2,WEAK)",217,19.768,0,117,117,A1N,-2.165,0.622716,-0.475,1.69
9882,2,11,AllGrid,3,100,10,42,46,"Hit(CW,4,MIDDLE)",33443,3331.3,0,109,109,A1N,1.295,2.01444,1.295,0.0
2998,6,14,AllGrid,3,100,10,42,33,"Hit(CCW,1,TOUCH)",11997,1589.48,0,145,145,A1N,2.615,0.629901,2.895,0.2799999999999998
1555,2,3,AllGrid,3,100,10,42,4,"Draw(CW,S2)",81050,5299.91,0,55,55,A1N,0.585,1.95519,1.1,0.5150000000000001
4372,4,14,AllGrid,3,100,10,42,18,"Draw(CW,L4)",2376,232.351,0,49,49,A1N,0.095,1.24337,0.095,0.0
3732,7,7,AllGrid,3,100,10,42,23,"Draw(CCW,L6)",47810,3020.48,0,49,49,A1N,0.605,1.64893,1.125,0.52
3858,5,5,AllGrid,3,100,10,42,61,"Freeze(CCW,4)",69669,5092.74,0,75,75,A1N,0.58,1.95796,0.885,0.30500000000000005
1938,0,14,AllGrid,3,100,10,42,36,"Hit(CW,9,MIDDLE)",7596,906.743,0,93,93,A1N,0.885,2.36892,1.43,0.5449999999999999
9112,3,9,AllGrid,3,100,10,42,37,"Hit(CCW,2,MIDDLE)",39360,3023.24,0,75,75,A1N,0.76,1.84997,0.76,0.0
4157,3,12,AllGrid,3,100,10,42,67,"Hit(CCW,9,MIDDLE)",25605,2723.78,0,107,107,A1N,-2.285,1.78151,-0.705,1.58
7373,1,11,AllGrid,3,100,10,42,59,"Hit(CCW,6,STRONG)",30365,2903.69,0,103,103,A1N,1.015,1.82065,1.175,0.16000000000000014
7173,4,15,AllGrid,3,100,10,42,0,"Draw(CW,TEE)",251,29.923,0,151,151,A1N,1.84,0.366606,2.0,0.15999999999999992
