arm,method,depth,playouts,rollouts,n,mean_regret,sd_regret,mean_q,mean_sims,min_sims,max_sims,mean_time
A1N,AllGrid,3,100,10,1000,0.451125,0.4299466402804988,0.37225,33852.633,143,88493,2630.0438219499997
A9P5N,ClusterValue,3,100,10,1000,0.376065,0.38634343792411846,0.44731,39208.23,143,106299,2493.5581390499997
