arm,method,depth,playouts,rollouts,n,mean_regret,sd_regret,mean_q,mean_sims,min_sims,max_sims,mean_time
A1N,AllGrid,3,400,10,1000,0.260685,0.251523796080997,0.56269,122100.193,443,345951,6778.8794135
A9P5N,ClusterValue,3,400,10,1000,0.304985,0.37217252338419915,0.51839,117247.276,443,353654,5538.28693919
