game,a_hammer_end0,net_end0,net_end1,net_a
0,0,1,-1,0
1,1,-2,-1,-3
2,0,-1,3,2
3,1,3,-2,1
4,0,-2,-1,-3
5,1,-1,2,1
6,0,1,2,3
7,1,1,-3,-2
8,0,-1,-1,-2
9,1,1,-1,0
10,0,-1,1,0
11,1,-1,-1,-2
