game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-4,-5,-9
1,1,1,-3,-2
2,0,1,-2,-1
3,1,1,-1,0
4,0,2,-1,1
5,1,3,-2,1
6,0,-1,3,2
7,1,1,-3,-2
8,0,1,-2,-1
9,1,3,-4,-1
10,0,1,1,2
11,1,2,-1,1
12,0,-1,1,0
13,1,1,2,3
14,0,1,-3,-2
15,1,1,-1,0
16,0,-1,2,1
17,1,2,-3,-1
18,0,3,-1,2
19,1,2,-3,-1
20,0,-1,1,0
21,1,5,-3,2
22,0,-1,-1,-2
23,1,2,-3,-1
