game,a_hammer_end0,net_end0,net_end1,net_a
0,0,2,1,3
1,1,1,1,2
2,0,-1,2,1
3,1,2,-1,1
4,0,2,1,3
5,1,2,-4,-2
6,0,3,1,4
7,1,2,-1,1
8,0,-1,-1,-2
9,1,3,-2,1
10,0,1,-1,0
11,1,-1,1,0
12,0,2,-1,1
13,1,3,-1,2
14,0,3,-1,2
15,1,3,-1,2
