game,a_hammer_end0,net_end0,net_end1,net_a
0,0,1,3,4
1,1,3,-3,0
2,0,1,-1,0
3,1,2,4,6
4,0,1,3,4
5,1,-1,4,3
6,0,4,2,6
7,1,4,1,5
8,0,1,-1,0
9,1,4,2,6
10,0,4,2,6
11,1,-1,1,0
12,0,-1,3,2
13,1,-1,2,1
14,0,3,1,4
15,1,1,3,4
