game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-2,-2,-4
1,1,1,1,2
2,0,-2,-1,-3
3,1,-1,2,1
4,0,-2,2,0
5,1,4,-2,2
6,0,-1,-1,-2
7,1,1,-2,-1
8,0,1,5,6
9,1,1,-1,0
10,0,-2,7,5
11,1,-1,3,2
