game,a_hammer_end0,net_end0,net_end1,net_a
0,0,3,1,4
1,1,1,-1,0
2,0,2,-1,1
3,1,3,1,4
4,0,2,-1,1
5,1,-1,3,2
6,0,-2,2,0
7,1,3,-1,2
8,0,1,-2,-1
9,1,1,-1,0
10,0,2,-1,1
11,1,-1,1,0
12,0,1,-1,0
13,1,2,-1,1
14,0,1,2,3
15,1,3,1,4
16,0,2,-1,1
17,1,5,-2,3
