game,a_hammer_end0,net_end0,net_end1,net_a
0,0,1,-1,0
1,1,3,-2,1
2,0,1,1,2
3,1,1,-1,0
4,0,-1,2,1
5,1,-1,1,0
6,0,-3,1,-2
7,1,-1,4,3
8,0,-3,1,-2
9,1,1,-1,0
10,0,1,-1,0
11,1,1,-1,0
12,0,-1,4,3
13,1,1,-2,-1
14,0,-2,1,-1
15,1,-2,-1,-3
16,0,-3,3,0
17,1,2,-2,0
