game,a_hammer_end0,net_end0,net_end1,net_a
0,0,2,-3,-1
1,1,3,-1,2
2,0,-4,-1,-5
3,1,1,-1,0
4,0,-2,3,1
5,1,1,-1,0
6,0,-2,-2,-4
7,1,2,-2,0
8,0,-1,1,0
9,1,1,-1,0
10,0,1,-2,-1
11,1,2,1,3
12,0,-1,3,2
13,1,-2,1,-1
