game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda
5392,3,13,ClusterValue,3,200,10,46,86,"Hit(CW,10,MIDDLE)",15201,1533.31,0
4262,4,2,ClusterValue,3,200,10,46,33,"Hit(CCW,1,TOUCH)",177686,10889,0
6230,1,12,ClusterValue,3,200,10,46,34,"Hit(CW,11,WEAK)",20961,1324.14,0
3543,4,7,ClusterValue,3,200,10,46,37,"Hit(CCW,2,MIDDLE)",101228,6159.58,0
1784,6,5,ClusterValue,3,200,10,46,11,"Draw(CCW,L0)",137544,8825.42,0
4905,4,14,ClusterValue,3,200,10,46,11,"Draw(CCW,L0)",2533,184.612,0
3837,2,10,ClusterValue,3,200,10,46,34,"Hit(CW,7,WEAK)",56408,3693.3,0
2854,0,15,ClusterValue,3,200,10,46,57,"Hit(CCW,12,MIDDLE)",103,12.5572,0
1221,1,10,ClusterValue,3,200,10,46,77,"Hit(CCW,9,MIDDLE)",62422,4541.77,0
7301,6,14,ClusterValue,3,200,10,46,48,"Hit(CW,3,STRONG)",3862,400.01,0
5248,0,3,ClusterValue,3,200,10,46,35,"Hit(CCW,2,WEAK)",162143,9876.83,0
2545,3,15,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",61,5.63182,0
6335,1,11,ClusterValue,3,200,10,46,34,"Hit(CW,6,WEAK)",37061,2234,0
8275,4,5,ClusterValue,3,200,10,46,44,"Hit(CW,2,WEAK)",136452,8426.37,0
963,5,13,ClusterValue,3,200,10,46,45,"Hit(CCW,10,WEAK)",9181,819.697,0
176,5,11,ClusterValue,3,200,10,46,55,"Hit(CCW,8,WEAK)",45157,3320.62,0
2199,1,13,ClusterValue,3,200,10,46,78,"Hit(CW,10,STRONG)",11823,1170.56,0
8298,3,11,ClusterValue,3,200,10,46,35,"Hit(CCW,0,WEAK)",45687,3371.6,0
6729,2,14,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",3629,341.641,0
8119,5,4,ClusterValue,3,200,10,46,7,"Draw(CCW,S4)",150426,9482.72,0
8189,0,14,ClusterValue,3,200,10,46,36,"Hit(CW,13,MIDDLE)",1561,101.131,0
9791,0,8,ClusterValue,3,200,10,46,3,"Draw(CCW,S0)",85336,5172.02,0
5487,5,5,ClusterValue,3,200,10,46,11,"Draw(CCW,L0)",136386,8805.34,0
4950,0,15,ClusterValue,3,200,10,46,35,"Hit(CCW,12,WEAK)",71,5.99086,0
9143,3,7,ClusterValue,3,200,10,46,2,"Draw(CW,S0)",106743,6955.97,0
4517,4,13,ClusterValue,3,200,10,46,89,"Hit(CCW,12,STRONG)",13634,1392.96,0
2994,5,10,ClusterValue,3,200,10,46,74,"Hit(CW,9,WEAK)",64668,4887.88,0
961,6,13,ClusterValue,3,200,10,46,87,"Hit(CCW,10,MIDDLE)",16871,1713.69,0
1566,1,3,ClusterValue,3,200,10,46,10,"Draw(CW,L0)",165714,10373.8,0
1686,6,15,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",49,4.79689,0
1201,0,6,ClusterValue,3,200,10,46,47,"Hit(CCW,5,MIDDLE)",115550,6948.14,0
5494,4,5,ClusterValue,3,200,10,46,15,"Draw(CCW,L2)",139955,9478.62,0
2492,4,15,ClusterValue,3,200,10,46,2,"Draw(CW,S0)",75,7.76,0
8959,1,11,ClusterValue,3,200,10,46,46,"Hit(CW,6,MIDDLE)",42069,2871.11,0
1671,0,15,ClusterValue,3,200,10,46,76,"Hit(CW,12,MIDDLE)",117,14.5542,0
1385,7,11,ClusterValue,3,200,10,46,55,"Hit(CCW,6,WEAK)",44697,3108.15,0
6872,1,14,ClusterValue,3,200,10,46,84,"Hit(CW,13,WEAK)",3642,361.332,0
8785,1,4,ClusterValue,3,200,10,46,13,"Draw(CCW,L1)",147732,8894.8,0
1835,0,15,ClusterValue,3,200,10,46,55,"Hit(CCW,14,WEAK)",69,7.24519,0
6216,7,8,ClusterValue,3,200,10,46,28,"PreGuard(CW,G4)",85040,5199.03,0
8471,6,5,ClusterValue,3,200,10,46,34,"Hit(CW,0,WEAK)",137172,8830.05,0
256,3,12,ClusterValue,3,200,10,46,43,"Hit(CCW,11,TOUCH)",24804,1799.46,0
5778,2,9,ClusterValue,3,200,10,46,65,"Hit(CCW,6,WEAK)",77526,5328.29,0
6320,4,15,ClusterValue,3,200,10,46,64,"Hit(CW,12,WEAK)",103,11.9393,0
1638,4,11,ClusterValue,3,200,10,46,46,"Hit(CW,4,MIDDLE)",45760,3302.34,0
2310,6,15,ClusterValue,3,200,10,46,55,"Hit(CCW,6,WEAK)",135,16.7832,0
7921,5,4,ClusterValue,3,200,10,46,2,"Draw(CW,S0)",146670,8964.04,0
1361,1,12,ClusterValue,3,200,10,46,48,"Hit(CW,11,STRONG)",22018,1422.68,0
5041,1,8,ClusterValue,3,200,10,46,52,"PostGuard(CW,6,2)",85454,5260.15,0
5033,7,5,ClusterValue,3,200,10,46,44,"Hit(CW,2,WEAK)",136271,8865.32,0
5022,1,15,ClusterValue,3,200,10,46,7,"Draw(CCW,S4)",89,10.5843,0
9907,7,9,ClusterValue,3,200,10,46,45,"Hit(CCW,6,WEAK)",71026,4243.67,0
8627,2,12,ClusterValue,3,200,10,46,101,"PostGuard(CCW,10,2)",30259,2369.07,0
1641,6,10,ClusterValue,3,200,10,46,69,"Hit(CCW,7,STRONG)",65196,4888.2,0
7249,2,15,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",139,18.2171,0
4837,7,2,ClusterValue,3,200,10,46,35,"Hit(CCW,1,WEAK)",177589,10891.2,0
1039,2,15,ClusterValue,3,200,10,46,3,"Draw(CCW,S0)",43,4.21846,0
7846,3,10,ClusterValue,3,200,10,46,46,"Hit(CW,9,MIDDLE)",53725,3339.49,0
5246,2,5,ClusterValue,3,200,10,46,35,"Hit(CCW,0,WEAK)",138905,9183.16,0
4166,2,12,ClusterValue,3,200,10,46,51,"Hit(CCW,11,MIDDLE)",23421,1549.83,0
6533,4,6,ClusterValue,3,200,10,46,26,"PreGuard(CW,G3)",123351,8261.13,0
5721,0,12,ClusterValue,3,200,10,46,34,"Hit(CW,1,WEAK)",33437,2893.16,0
4463,7,9,ClusterValue,3,200,10,46,58,"Hit(CW,4,STRONG)",77129,5132.88,0
5606,2,14,ClusterValue,3,200,10,46,77,"Hit(CCW,9,MIDDLE)",3613,331.889,0
1123,4,3,ClusterValue,3,200,10,46,37,"Hit(CCW,0,MIDDLE)",163721,10012,0
8113,3,15,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",69,7.50514,0
716,6,7,ClusterValue,3,200,10,46,34,"Hit(CW,4,WEAK)",100150,6221.66,0
459,3,5,ClusterValue,3,200,10,46,34,"Hit(CW,0,WEAK)",136310,8384.49,0
9287,7,12,ClusterValue,3,200,10,46,39,"Hit(CCW,11,WEAK)",21697,1452.96,0
5647,1,10,ClusterValue,3,200,10,46,87,"PostGuard(CCW,8,1)",62393,4319.01,0
4562,4,13,ClusterValue,3,200,10,46,76,"Hit(CW,8,MIDDLE)",12829,1337.82,0
6201,5,11,ClusterValue,3,200,10,46,43,"Hit(CCW,2,TOUCH)",45891,3468.52,0
9166,3,14,ClusterValue,3,200,10,46,59,"Hit(CCW,5,STRONG)",3691,353.99,0
8703,4,3,ClusterValue,3,200,10,46,7,"Draw(CCW,S4)",162562,9789.21,0
1616,0,14,ClusterValue,3,200,10,46,37,"Hit(CCW,7,MIDDLE)",1847,119.807,0
5809,3,9,ClusterValue,3,200,10,46,48,"Hit(CW,8,STRONG)",67900,4115.48,0
4651,6,5,ClusterValue,3,200,10,46,44,"Hit(CW,2,WEAK)",136108,8561.91,0
8894,2,15,ClusterValue,3,200,10,46,2,"Draw(CW,S0)",79,8.86209,0
2369,6,9,ClusterValue,3,200,10,46,49,"Hit(CCW,2,STRONG)",72573,4589.6,0
1083,7,15,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",103,9.85016,0
366,3,11,ClusterValue,3,200,10,46,35,"Hit(CCW,0,WEAK)",48208,3671.98,0
6354,2,15,ClusterValue,3,200,10,46,4,"Draw(CW,S2)",151,19.8176,0
9260,7,2,ClusterValue,3,200,10,46,7,"Draw(CCW,S4)",178232,11045.7,0
6267,4,12,ClusterValue,3,200,10,46,10,"Draw(CW,L0)",21503,1402.42,0
1158,6,8,ClusterValue,3,200,10,46,29,"PreGuard(CCW,G4)",87751,5464.27,0
6520,1,5,ClusterValue,3,200,10,46,56,"Hit(CW,4,MIDDLE)",136350,8451.44,0
2099,0,14,ClusterValue,3,200,10,46,7,"Draw(CCW,S4)",2489,187.964,0
4892,6,10,ClusterValue,3,200,10,46,59,"Hit(CCW,5,STRONG)",61787,4275.44,0
7859,3,14,ClusterValue,3,200,10,46,87,"Hit(CCW,13,MIDDLE)",3422,311.678,0
2084,7,10,ClusterValue,3,200,10,46,101,"PostGuard(CCW,6,0)",65891,5140.01,0
5335,1,14,ClusterValue,3,200,10,46,85,"Hit(CCW,11,WEAK)",3777,378.167,0
5272,2,4,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",147361,9078.41,0
5472,3,13,ClusterValue,3,200,10,46,10,"Draw(CW,L0)",6838,561.736,0
4526,5,9,ClusterValue,3,200,10,46,42,"Hit(CW,6,TOUCH)",70342,4513.08,0
6392,2,5,ClusterValue,3,200,10,46,37,"Hit(CCW,0,MIDDLE)",137022,8736.21,0
1255,4,13,ClusterValue,3,200,10,46,3,"Draw(CCW,S0)",10760,1012.22,0
5259,3,8,ClusterValue,3,200,10,46,40,"Freeze(CW,1)",96213,6881.56,0
7905,3,15,ClusterValue,3,200,10,46,56,"Hit(CW,10,MIDDLE)",103,11.8251,0
4159,5,11,ClusterValue,3,200,10,46,56,"Hit(CW,8,MIDDLE)",45700,3527.94,0
2788,5,13,ClusterValue,3,200,10,46,55,"Hit(CCW,4,WEAK)",20307,2279.77,0
4360,7,4,ClusterValue,3,200,10,46,34,"Hit(CW,1,WEAK)",149228,9236.74,0
8248,7,13,ClusterValue,3,200,10,46,28,"PreGuard(CW,G4)",6320,538.411,0
2081,5,9,ClusterValue,3,200,10,46,7,"Draw(CCW,S4)",68038,4093.94,0
1265,4,5,ClusterValue,3,200,10,46,45,"Hit(CCW,2,WEAK)",136514,8513.56,0
3677,7,15,ClusterValue,3,200,10,46,3,"Draw(CCW,S0)",75,7.89362,0
477,2,10,ClusterValue,3,200,10,46,35,"Hit(CCW,5,WEAK)",59555,4148.15,0
8462,7,13,ClusterValue,3,200,10,46,11,"Draw(CCW,L0)",14901,1525.78,0
3186,1,11,ClusterValue,3,200,10,46,57,"Hit(CCW,4,MIDDLE)",45225,3361.25,0
8936,4,15,ClusterValue,3,200,10,46,1,"Draw(CCW,TEE)",145,19.1269,0
966,6,3,ClusterValue,3,200,10,46,9,"Draw(CCW,S6)",164055,9719.44,0
232,1,13,ClusterValue,3,200,10,46,58,"Pass",6063,499.809,0
3968,6,10,ClusterValue,3,200,10,46,46,"PostGuard(CW,8,2)",52055,3125.59,0
2440,2,5,ClusterValue,3,200,10,46,39,"Hit(CCW,0,STRONG)",136280,8560.79,0
