game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-1,1,0
1,1,-2,2,0
2,0,2,1,3
3,1,3,1,4
4,0,2,-1,1
5,1,1,-1,0
6,0,2,1,3
7,1,1,-2,-1
8,0,1,-1,0
9,1,7,3,10
10,0,1,1,2
11,1,-2,3,1
12,0,1,-2,-1
13,1,3,2,5
14,0,1,-1,0
15,1,3,-1,2
16,0,1,-1,0
17,1,-2,2,0
18,0,3,-2,1
19,1,1,-1,0
20,0,-1,1,0
21,1,1,-2,-1
22,0,2,1,3
23,1,4,-3,1
