game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-2,3,1
1,1,1,-1,0
2,0,1,-2,-1
3,1,-2,5,3
4,0,1,-1,0
5,1,2,-1,1
6,0,1,-1,0
7,1,2,1,3
8,0,1,-1,0
9,1,-1,2,1
10,0,1,-1,0
11,1,-1,1,0
12,0,3,-2,1
13,1,5,1,6
14,0,2,1,3
15,1,1,-1,0
