game,a_hammer_end0,net_end0,net_end1,net_a
0,0,1,1,2
1,1,1,-2,-1
2,0,-2,1,-1
3,1,-1,4,3
4,0,-5,2,-3
5,1,3,-2,1
6,0,-3,2,-1
7,1,-2,-1,-3
8,0,-1,1,0
9,1,-1,-1,-2
10,0,-1,-1,-2
11,1,-1,3,2
