game_id,end,shot_num,team,remaining,has_hammer,phase_shot,phase_r,n_stones,n_stones_bin,n_my,n_op,n_my_house,n_op_house,n_house,house_diff,n_my_guard,n_op_guard,n_guard,n_center_guard,center_lane_blocked,n_front_house,n_back_house,n_within_0.61,n_within_1.22,d_no1,no1_mine,d_no2,no1_no2_gap,counting_my,counting_op,score_now,min_pair_dist,mean_nn_dist,x_spread,y_spread,house_mean_nn_dist,house_density,n_cand,q_star,q_2nd,q_gap12,q_median,q_mean,q_min,q_range,q_iqr,q_star_minus_median,n_near_best_025,n_near_best_050,frac_near_best_050,q_sd_mean,q_sd_median,q_sd_best,best_type,n_types,frac_hit,frac_draw,frac_guard,best_type_margin,n_types_near_best_050,best_type_is_hit,best_hist_entropy,best_p_negative,best_p_ge2,qadj_star_l0.5,qadj_best_same_as_q_best_l0.5,qadj_best_type_l0.5,n_cand_ct,K_clusters,n_reps,largest_frac,n_singleton,singleton_frac,size_entropy_norm,mean_cluster_size,type_purity,eta2_q,within_sd_q,between_range_q,best_is_rep,best_cluster_selected,best_cluster_size,rep_q_max,screen_loss,true_top_cluster_selected,rho_cand,rho_cluster,rho_gain,cluster_sd_mean,best_cluster_rank,rho_cluster_risk_l0.5,rho_cand_risk_l0.5,topk_overlap_l0.5,n_seeds_ct,rho_gain_sd,md_best_is_rep,md_best_cluster_selected,md_rep_q_max,md_screen_loss,regret_A1,regret_A1_sd,n_seeds_A1,regret_adj_A1,regret_adj_A1_sd,regret_A5,regret_A5_sd,n_seeds_A5,regret_adj_A5,regret_adj_A5_sd,regret_A2,regret_A2_sd,n_seeds_A2,regret_adj_A2,regret_adj_A2_sd,regret_A7,regret_A7_sd,n_seeds_A7,regret_adj_A7,regret_adj_A7_sd,regret_A9,regret_A9_sd,n_seeds_A9,regret_adj_A9,regret_adj_A9_sd,d_A5_A1,d_A2_A1,d_A2_A5,d_A7_A1,d_A7_A5,d_A7_A2,d_A9_A1,d_A9_A5,d_A9_A2,d_A9_A7,dadj_A5_A1,dadj_A2_A1,dadj_A2_A5,dadj_A7_A1,dadj_A7_A5,dadj_A7_A2,dadj_A9_A1,dadj_A9_A5,dadj_A9_A2,dadj_A9_A7
7977,6,14,0,2,0,late,late_r2-4,14,13-16,7,7,7,7,14,0,0,0,0,0,1,7,7,6,12,0.01418547287785671,0,0.29505560837916645,0.28087013550130974,0,4,-4,0.3036838640352964,0.44159459370705456,0.43508556669292114,0.7336336828849028,0.44159459370705456,1.143625594371477,145,-1.635,-1.79,0.15500000000000003,-3.26,-3.15203448275862,-3.92,2.285,0.625,1.6249999999999998,2,6,0.041379310344827586,1.278533144827586,1.27858,1.47369,Hit,6,0.38620689655172413,0.27586206896551724,0.3310344827586207,0.615,1,1,2.2468739688063124,0.855,0.005,-2.371845,1,Hit,145.0,29.0,4.0,0.3724137931034483,12.0,0.4137931034482759,0.6514810822890371,5.0,0.6344827586206897,0.7527032998271416,0.22978535432956898,2.2075,0.0,0.0,2.0,-2.303,0.6679999999999998,0.0,0.5550744820667763,0.49198369839256495,-0.0630907836742114,0.9204177037165391,12.6,0.45132635689503625,0.5262780112798755,0.9,5,0.061906550535919105,1.0,1.0,-1.6350000000000002,0.0,1.6,0.0,5,1.57375,0.0,0.7779999999999999,0.29275843284182274,5,0.829728,0.326581114552725,1.6,0.0,5,1.57375,0.0,1.445,0.41997023704067427,5,1.4232099999999999,0.400403106881053,1.458,0.4615273556356113,5,1.4349079999999996,0.43586469324780125,-0.8220000000000002,0.0,0.8220000000000002,-0.15500000000000003,0.6670000000000001,-0.15500000000000003,-0.14200000000000013,0.68,-0.14200000000000013,0.0129999999999999,-0.744022,0.0,0.744022,-0.15054000000000012,0.5934819999999998,-0.15054000000000012,-0.13884200000000035,0.6051799999999996,-0.13884200000000035,0.011697999999999764
3926,6,11,1,5,1,mid,mid_r5-8,11,9-12,5,6,5,6,11,-1,0,0,0,0,1,7,4,4,11,0.009360052610127588,0,0.301312957505979,0.2919529048958514,0,1,-1,0.3062448411572414,0.4286427965624183,0.4315171582871523,0.5183962706158578,0.4286427965624183,0.8985629670061606,123,0.425,0.38,0.044999999999999984,-0.955,-0.8897560975609756,-1.81,2.235,0.25250000000000006,1.38,6,8,0.06504065040650407,1.647981300813008,1.60487,2.03823,Hit,6,0.3902439024390244,0.3089430894308943,0.2926829268292683,1.1,1,1,2.6481851518305324,0.465,0.3,-0.594115,1,Hit,123.0,25.0,4.0,0.2601626016260163,9.0,0.36,0.7230757566067733,4.92,0.6666666666666666,0.8572865123976193,0.13826217107010844,2.2125,0.0,0.0,2.0,0.01100000000000001,0.41400000000000003,0.0,0.17268025974690132,0.3142259876020716,0.14154572785517025,1.5353376069885425,15.4,0.2644890822357343,0.17474962206635042,0.9,5,0.04756043800669375,0.0,1.0,0.38,0.044999999999999984,1.9289999999999998,0.10132867313845577,5,1.924475,0.09333192379888024,0.858,0.7527665640821197,5,0.773345,0.6792325293943892,1.855,0.0,5,1.856315,0.0,2.003,0.08273451516749226,5,1.992635,0.07620519667319277,1.538,0.8053694804249786,5,1.4765339999999996,0.8172863635256616,-1.0709999999999997,-0.07399999999999984,0.997,0.07400000000000029,1.145,0.14800000000000013,-0.3909999999999998,0.68,-0.31699999999999995,-0.4650000000000001,-1.15113,-0.06816,1.08297,0.06816,1.21929,0.13632,-0.44794100000000037,0.7031889999999996,-0.37978100000000037,-0.5161010000000004
3883,1,14,0,2,0,late,late_r2-4,1,0-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,-1,,,0,0,0,,,,,,0.0,37,-0.075,-0.29,0.21499999999999997,-0.74,-0.6963513513513513,-0.965,0.89,0.16000000000000003,0.665,2,6,0.16216216216216217,0.6193887837837838,0.626418,0.953612,Draw,4,0.10810810810810811,0.7027027027027027,0.16216216216216217,0.645,1,0,1.3301170037619596,0.495,0.0,-0.551806,1,Draw,37.0,8.0,4.0,0.21621621621621623,1.0,0.125,0.9389229686062194,4.625,1.0,0.637192193412843,0.0886536661096447,0.61,0.2,1.0,8.0,-0.24699999999999997,0.172,1.0,0.47102282102066806,0.8575004035298935,0.38647758250922537,0.572088631123146,1.6,0.5227298844301179,0.3747478005126444,0.75,5,0.24096883832847663,0.0,1.0,-0.355,0.27999999999999997,0.2149999999999999,0.0,5,0.2007684999999999,0.0,0.38199999999999995,0.2329055602599475,5,0.31957759999999996,0.16383947961053227,0.2799999999999999,0.0,5,0.250121,0.0,0.251,0.020124611797498155,5,0.2228605,0.012349803439731381,0.27199999999999996,0.010954451150103253,5,0.24142599999999997,0.01190611909376855,0.16700000000000004,0.065,-0.10200000000000004,0.03600000000000009,-0.13099999999999995,-0.028999999999999915,0.05700000000000005,-0.10999999999999999,-0.007999999999999952,0.020999999999999963,0.11880910000000006,0.04935250000000008,-0.06945659999999998,0.022092000000000084,-0.09671709999999997,-0.027260499999999993,0.04065750000000007,-0.07815159999999999,-0.008695000000000008,0.018565499999999985
9222,7,5,1,11,1,early,early_r9+,1,0-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,,,0,0,0,,,,,,0.0,37,1.315,1.29,0.02499999999999991,0.85,0.8502702702702702,0.485,0.83,0.4,0.46499999999999997,8,21,0.5675675675675675,1.9320159459459463,1.94673,2.00394,Draw,4,0.10810810810810811,0.7027027027027027,0.16216216216216217,0.31000000000000005,2,0,2.7324933184373914,0.28,0.475,0.33006500000000005,0,Draw,37.0,8.0,4.0,0.3783783783783784,1.0,0.125,0.8418631136888711,4.625,1.0,0.4550572198803226,0.1610423608293979,0.5325,0.2,0.8,14.0,1.232,0.08299999999999996,1.0,0.08535698879277882,0.41657119924375285,0.33121421045097404,1.7426110815761384,3.6,0.3,0.04749567928221483,0.85,5,0.3177213667744862,0.0,1.0,0.9949999999999999,0.31999999999999995,0.1779999999999999,0.11432410069622237,5,0.19851400000000002,0.1141282058366817,0.44799999999999995,0.1740904937094499,5,0.47346200000000005,0.2008792590276558,0.3419999999999999,0.04919349550499537,5,0.359829,0.05678271022062968,0.14199999999999996,0.20017492350441904,5,0.13376200000000008,0.18297185256891296,0.14699999999999994,0.14927323939675186,5,0.15773500000000001,0.14363037496469888,0.27,0.164,-0.10600000000000004,-0.03599999999999995,-0.306,-0.19999999999999996,-0.030999999999999972,-0.30100000000000005,-0.19499999999999998,0.004999999999999977,0.274948,0.161315,-0.11363300000000004,-0.06475199999999995,-0.3397,-0.22606699999999993,-0.04077900000000001,-0.31572700000000004,-0.202094,0.02397299999999994
7881,2,15,1,1,1,late,r1,12,9-12,6,6,6,6,12,0,0,0,0,0,1,8,4,2,10,0.014822125959525131,0,0.4882572316156722,0.47343510565614705,0,1,-1,0.37762290525867287,0.5234538528574366,0.5080996970342488,0.7532608307201571,0.5234538528574366,0.980250509461266,129,1.72,1.48,0.24,-1.0,-0.8709689922480619,-1.755,3.4749999999999996,0.0,2.7199999999999998,2,2,0.015503875968992248,0.2855194891472868,0.0,2.06678,Hit,6,0.37209302325581395,0.29457364341085274,0.32558139534883723,2.7199999999999998,1,1,2.108873391677536,0.325,0.62,0.6866099999999999,1,Hit,129.0,26.0,4.0,0.8062015503875969,25.0,0.9615384615384615,0.3423769823423499,4.961538461538462,0.5658914728682171,0.01511942008393787,0.5686562666599977,0.160048076923077,0.0,1.0,104.0,0.285,1.435,1.0,0.5667678395997436,1.0,0.43323216040025636,0.0314131494461271,1.0,1.0,0.40123504281621336,0.75,5,0.0,0.0,1.0,-1.0,2.7199999999999998,1.435,0.0,5,1.116415,0.0,2.73,0.2192886225958842,5,1.9385881,0.2055200135845656,2.725,0.0,5,1.7268768499999996,0.0,1.435,0.0,5,1.116415,0.0,1.435,0.0,5,1.116415,0.0,1.295,1.29,-0.004999999999999893,0.0,-1.295,-1.29,0.0,-1.295,-1.29,0.0,0.8221731000000001,0.6104618499999996,-0.21171125000000046,0.0,-0.8221731000000001,-0.6104618499999996,0.0,-0.8221731000000001,-0.6104618499999996,0.0
6406,1,10,0,6,0,mid,mid_r5-8,3,2-4,1,2,1,2,3,-1,0,0,0,0,0,1,2,2,2,0.0022233709268578363,0,0.4384417636357202,0.43621839270886237,0,2,-2,0.4365568471719112,0.6001684149769125,0.5203338332536309,0.14628069668354318,0.6001684149769125,0.2450626273653165,59,-0.385,-0.435,0.04999999999999999,-1.17,-1.073813559322034,-1.655,1.27,0.4724999999999999,0.7849999999999999,5,19,0.3220338983050847,1.7285954237288137,1.7085,1.70786,Draw,6,0.2711864406779661,0.5084745762711864,0.2033898305084746,0.15500000000000003,3,0,2.380744465258137,0.575,0.125,-1.2389299999999999,1,Draw,59.0,12.0,4.0,0.13559322033898305,3.0,0.25,0.9304178119030612,4.916666666666667,0.7966101694915254,0.7852713003680415,0.13800716777469144,0.6591666666666668,0.2,1.0,5.0,-0.5930000000000001,0.20800000000000002,0.4,0.31606729232209474,0.5491481862396549,0.23308089391756023,1.6223655572164717,3.0,0.49230769230769234,0.30537096150973897,0.8,5,0.09975261067747843,1.0,1.0,-0.385,0.0,0.3529999999999999,0.08497058314499206,5,0.39251400000000014,0.039486724414668814,0.43599999999999994,0.2377340951567528,5,0.4577600000000001,0.20152216097119435,0.052000000000000005,0.11627553482998908,5,0.058103000000000016,0.12992225769667032,0.40499999999999997,0.1688564479076828,5,0.3981260000000001,0.1669717008732318,0.28600000000000003,0.19057150888839602,5,0.2927130000000001,0.18082113353394294,0.08300000000000002,-0.30099999999999993,-0.38399999999999995,0.052000000000000046,-0.030999999999999972,0.353,-0.06699999999999989,-0.1499999999999999,0.23400000000000004,-0.11899999999999994,0.06524599999999997,-0.3344110000000001,-0.3996570000000001,0.00561199999999995,-0.05963400000000002,0.3400230000000001,-0.09980100000000003,-0.165047,0.2346100000000001,-0.10541299999999998
8452,5,15,1,1,1,late,r1,15,13-16,8,7,8,6,14,2,0,1,1,1,1,11,3,6,13,0.15058174883099099,1,0.3529086573038427,0.2023269084728517,1,0,1,0.29942263131566765,0.36087435508020693,0.4365047461459077,0.6140298865690494,0.33942703497560994,1.143625594371477,153,1.935,1.93,0.0050000000000001155,1.0,0.866732026143791,-1.51,3.4450000000000003,0.0,0.935,2,7,0.0457516339869281,0.26027919215686274,0.0,0.246526,Hit,8,0.35294117647058826,0.2875816993464052,0.35294117647058826,0.49,2,1,0.34698128810061335,0.0,0.935,1.8117370000000002,1,Hit,153.0,31.0,4.0,0.803921568627451,30.0,0.967741935483871,0.3383294860212367,4.935483870967742,0.5359477124183006,0.020344098803349194,0.6481282328570886,0.5308536585365855,0.0,1.0,123.0,1.32,0.615,0.0,0.5709861418675929,0.5966984201371583,0.02571227826956546,0.023271849516369278,31.0,0.5966984201371583,0.5161190316579237,1.0,5,0.0,0.0,1.0,1.445,0.49000000000000005,0.615,0.0,5,0.7948870000000001,0.0,0.5529999999999999,0.03978064856183216,5,0.7393874,0.0963609133968488,0.49000000000000005,0.0,5,0.6152200000000001,0.0,0.615,0.0,5,0.7948870000000001,0.0,0.615,0.0,5,0.7948870000000001,0.0,-0.062000000000000055,-0.12499999999999994,-0.06299999999999989,0.0,0.062000000000000055,0.12499999999999994,0.0,0.062000000000000055,0.12499999999999994,0.0,-0.05549960000000009,-0.17966700000000002,-0.12416739999999993,0.0,0.05549960000000009,0.17966700000000002,0.0,0.05549960000000009,0.17966700000000002,0.0
1028,6,15,1,1,1,late,r1,15,13-16,8,7,8,7,15,1,0,0,0,0,1,11,4,4,12,0.2320554152977253,1,0.23580853301778537,0.0037531177200600674,1,0,1,0.30138272144235656,0.4219444519719928,0.45618251718167874,0.6454421614159812,0.4219444519719928,1.2253131368265826,151,1.0,1.0,0.0,1.0,-0.1473841059602649,-4.71,5.71,2.2125,0.0,94,100,0.6622516556291391,0.5775171390728477,0.0,0.0,Draw,6,0.3708609271523179,0.26490066225165565,0.3576158940397351,0.0,6,0,-0.0,0.0,0.0,1.0,1,Draw,151.0,31.0,4.0,0.8013245033112583,30.0,0.967741935483871,0.3419626486511174,4.870967741935484,0.5695364238410596,0.1074060435462103,1.83986166972737,1.4318595041322313,0.0,1.0,121.0,1.0,0.0,0.0,0.8022782419823502,1.0,0.1977217580176498,0.06525222821159131,31.0,1.0,0.7968310701941422,1.0,5,0.0,0.0,1.0,1.0,0.0,0.2299999999999999,0.0,5,0.5643275,0.0,0.209,0.467338207297456,5,0.350879,0.7845892958771487,0.2299999999999999,0.0,5,0.5643275,0.0,0.2299999999999999,0.0,5,0.5643275,0.0,0.2299999999999999,0.0,5,0.5643275,0.0,-0.020999999999999908,0.0,0.020999999999999908,0.0,0.020999999999999908,0.0,0.0,0.020999999999999908,0.0,0.0,-0.21344849999999999,0.0,0.21344849999999999,0.0,0.21344849999999999,0.0,0.0,0.21344849999999999,0.0,0.0
2596,1,14,0,2,0,late,late_r2-4,14,13-16,7,7,7,7,14,0,0,0,0,0,1,9,5,6,12,0.2050375341272904,1,0.3137797109836782,0.10874217685638779,2,0,2,0.2949209172486073,0.4086926556264054,0.511515288034565,0.6949194110154953,0.4086926556264054,1.143625594371477,145,1.97,1.965,0.004999999999999893,1.51,1.464551724137931,0.65,1.3199999999999998,0.20500000000000007,0.45999999999999996,22,87,0.6,0.9029097379310345,0.779679,0.457275,PostGuard,6,0.38620689655172413,0.27586206896551724,0.3310344827586207,0.07000000000000006,6,0,0.7846218756660164,0.005,0.915,1.7626545,0,PostGuard,145.0,29.0,4.0,0.2482758620689655,10.0,0.3448275862068966,0.7718287674208493,5.0,0.6827586206896552,0.6227440306606409,0.15550286473115024,1.1925000000000001,0.0,0.0,36.0,1.584,0.386,0.0,0.32862855745719755,0.16547921253720013,-0.16314934491999739,0.7456132918273701,12.0,0.059111457227980814,0.315375924709627,0.95,5,0.039063072059235836,0.0,1.0,1.9,0.07000000000000006,1.3199999999999998,0.0,5,1.9754244999999997,0.0,0.5119999999999999,0.10034938963441682,5,1.0695445,0.23279303350830752,0.585,0.0,5,1.2345045,0.0,1.2979999999999998,0.030124740662784113,5,1.9237825000000002,0.07071372078670449,1.015,0.3931761691659351,5,1.6532354999999999,0.38586404186578466,-0.8079999999999999,-0.7349999999999999,0.07300000000000006,-0.02200000000000002,0.7859999999999999,0.7129999999999999,-0.30499999999999994,0.503,0.42999999999999994,-0.2829999999999999,-0.9058799999999998,-0.7409199999999998,0.16496,-0.05164199999999952,0.8542380000000003,0.6892780000000003,-0.32218899999999984,0.583691,0.41873099999999996,-0.2705470000000003
4748,1,3,1,13,1,early,early_r9+,2,2-4,1,1,1,1,2,0,0,0,0,0,0,2,0,1,2,0.34483096172037614,0,0.6299526034901355,0.28512164176975935,0,1,-1,0.9473629474288089,0.9473629474288089,0.4706845,0.05320000000000036,0.9473629474288089,0.16337508491021102,49,0.985,0.935,0.04999999999999993,0.655,0.6210204081632654,0.21,0.775,0.335,0.32999999999999996,17,34,0.6938775510204082,2.0008346938775508,1.99974,1.8721,Hit,6,0.16326530612244897,0.5714285714285714,0.24489795918367346,0.07499999999999996,5,1,2.5908791844822927,0.315,0.4,0.04894999999999994,1,Hit,49.0,10.0,4.0,0.24489795918367346,2.0,0.2,0.9172644747925618,4.9,0.7959183673469388,0.5016459200167448,0.13649265337866348,0.39583333333333337,0.0,0.2,6.0,0.817,0.16799999999999998,0.6,-0.011321814445347736,0.19769777610554184,0.2090195905508896,1.8409855213996387,5.4,0.20484848484848478,-0.032386920210560985,0.9,5,0.13964061448867038,0.0,1.0,0.8550000000000001,0.13,0.22199999999999998,0.06676451153120194,5,0.3371839999999999,0.12169267589916824,0.19199999999999998,0.08671793355471522,5,0.30596299999999993,0.07881575497640059,0.48,0.2126617031813674,5,0.5532849999999999,0.24493011248109123,0.31599999999999995,0.17938784797192928,5,0.35684699999999986,0.20895433285768447,0.4309999999999999,0.20079218112267225,5,0.4958679999999999,0.22633007151061477,-0.03,0.258,0.28800000000000003,0.09399999999999997,0.12399999999999997,-0.16400000000000003,0.2089999999999999,0.2389999999999999,-0.0490000000000001,0.11499999999999994,-0.031220999999999943,0.21610100000000004,0.247322,0.019662999999999986,0.05088399999999993,-0.19643800000000006,0.15868400000000005,0.189905,-0.057416999999999996,0.13902100000000006
