game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec
7977,6,14,AllGrid,3,200,10,43,46,"Hit(CW,3,MIDDLE)",17586,1451.53
3926,6,11,AllGrid,3,200,10,43,37,"Hit(CCW,0,MIDDLE)",61576,3803.48
3883,1,14,AllGrid,3,200,10,43,0,"Draw(CW,TEE)",1014,53.1275
9222,7,5,AllGrid,3,200,10,43,9,"Draw(CCW,S6)",123558,4254.5
7881,2,15,AllGrid,3,200,10,43,84,"Hit(CW,12,WEAK)",129,9.13181
6406,1,10,AllGrid,3,200,10,43,2,"Draw(CW,S0)",58120,2434.99
8452,5,15,AllGrid,3,200,10,43,34,"Hit(CW,0,WEAK)",153,13.1182
1028,6,15,AllGrid,3,200,10,43,0,"Draw(CW,TEE)",151,13.4367
2596,1,14,AllGrid,3,200,10,43,86,"Hit(CW,11,MIDDLE)",17420,1422.32
4748,1,3,AllGrid,3,200,10,43,21,"Draw(CCW,L5)",156240,5588.04
9206,3,13,AllGrid,3,200,10,43,34,"Hit(CW,12,WEAK)",11157,627.618
5859,1,6,AllGrid,3,200,10,43,6,"Draw(CW,S4)",118067,4762.18
6871,4,5,AllGrid,3,200,10,43,40,"Freeze(CW,0)",133063,5257.88
7163,3,13,AllGrid,3,200,10,43,63,"Hit(CCW,12,TOUCH)",22700,1532.62
5807,0,8,AllGrid,3,200,10,43,23,"Draw(CCW,L6)",94649,4213.52
5567,2,15,AllGrid,3,200,10,43,0,"Draw(CW,TEE)",129,10.1799
2507,3,11,AllGrid,3,200,10,43,63,"Hit(CCW,8,STRONG)",55913,2991.31
7006,3,15,AllGrid,3,200,10,43,0,"Draw(CW,TEE)",145,13.3476
1984,6,4,AllGrid,3,200,10,43,48,"Hit(CW,3,STRONG)",144494,5455.47
1845,7,14,AllGrid,3,200,10,43,48,"PostGuard(CW,12,0)",2935,174.056
5780,2,6,AllGrid,3,200,10,43,17,"Draw(CCW,L3)",111911,4206.88
8645,7,5,AllGrid,3,200,10,43,40,"Freeze(CW,0)",133981,5467.51
6132,0,13,AllGrid,3,200,10,43,2,"Draw(CW,S0)",22968,1552.6
3339,4,10,AllGrid,3,200,10,43,10,"Draw(CW,L0)",63536,2765.36
3566,6,14,AllGrid,3,200,10,43,56,"Hit(CW,7,MIDDLE)",13524,1171.08
5523,3,9,AllGrid,3,200,10,43,55,"Hit(CCW,4,WEAK)",83669,4328.27
7015,5,14,AllGrid,3,200,10,43,46,"Hit(CW,3,MIDDLE)",17576,1478.72
743,7,3,AllGrid,3,200,10,43,36,"Hit(CW,0,MIDDLE)",157965,5885.31
1014,4,15,AllGrid,3,200,10,43,10,"Draw(CW,L0)",61,4.30387
3900,0,10,AllGrid,3,200,10,43,0,"Draw(CW,TEE)",58037,2408.56
4543,6,5,AllGrid,3,200,10,43,34,"Hit(CW,0,WEAK)",134334,5392.01
9231,5,14,AllGrid,3,200,10,43,7,"Draw(CCW,S4)",7737,656.851
1825,5,7,AllGrid,3,200,10,43,61,"PostGuard(CCW,3,1)",106278,4556.2
4062,4,15,AllGrid,3,200,10,43,35,"Hit(CCW,2,WEAK)",117,10.7699
9882,2,11,AllGrid,3,200,10,43,34,"Hit(CW,2,WEAK)",57930,3376.13
2998,6,14,AllGrid,3,200,10,43,57,"Hit(CCW,5,MIDDLE)",17252,1506.27
1555,2,3,AllGrid,3,200,10,43,15,"Draw(CCW,L2)",158664,5826.42
4372,4,14,AllGrid,3,200,10,43,0,"Draw(CW,TEE)",2176,125.438
3732,7,7,AllGrid,3,200,10,43,16,"Draw(CW,L3)",94284,3311.09
3858,5,5,AllGrid,3,200,10,43,40,"Freeze(CW,0)",135165,5564.13
1938,0,14,AllGrid,3,200,10,43,46,"Hit(CW,11,MIDDLE)",7396,528.977
9112,3,9,AllGrid,3,200,10,43,56,"Hit(CW,6,MIDDLE)",74001,3268.64
4157,3,12,AllGrid,3,200,10,43,39,"Hit(CCW,3,STRONG)",41896,2612.35
7373,1,11,AllGrid,3,200,10,43,42,"Hit(CW,4,TOUCH)",52888,2876.54
7173,4,15,AllGrid,3,200,10,43,0,"Draw(CW,TEE)",151,16.9629
196,4,4,AllGrid,3,200,10,43,29,"PreGuard(CCW,G4)",144501,5311.41
2630,2,14,AllGrid,3,200,10,43,32,"Hit(CW,11,TOUCH)",3189,192.599
5731,2,10,AllGrid,3,200,10,43,29,"PreGuard(CCW,G4)",51203,2024.29
9518,4,5,AllGrid,3,200,10,43,44,"Hit(CW,2,WEAK)",134013,5337.83
8211,7,12,AllGrid,3,200,10,43,6,"Draw(CW,S4)",34850,1834.8
