game_id,end,shot_num,team,remaining,has_hammer,phase_shot,phase_r,n_stones,n_stones_bin,n_my,n_op,n_my_house,n_op_house,n_house,house_diff,n_my_guard,n_op_guard,n_guard,n_center_guard,center_lane_blocked,n_front_house,n_back_house,n_within_0.61,n_within_1.22,d_no1,no1_mine,d_no2,no1_no2_gap,counting_my,counting_op,score_now,min_pair_dist,mean_nn_dist,x_spread,y_spread,house_mean_nn_dist,house_density,n_cand,q_star,q_2nd,q_gap12,q_median,q_mean,q_min,q_range,q_iqr,q_star_minus_median,n_near_best_025,n_near_best_050,frac_near_best_050,q_sd_mean,q_sd_median,q_sd_best,best_type,n_types,frac_hit,frac_draw,frac_guard,best_type_margin,n_types_near_best_050,best_type_is_hit,best_hist_entropy,best_p_negative,best_p_ge2,qadj_star_l0.5,qadj_best_same_as_q_best_l0.5,qadj_best_type_l0.5,lookahead_gain_best,lookahead_gain_mean,n_cand_ct,K_clusters,n_reps,largest_frac,n_singleton,singleton_frac,size_entropy_norm,mean_cluster_size,type_purity,eta2_q,within_sd_q,between_range_q,best_is_rep,best_cluster_selected,best_cluster_size,rep_q_max,screen_loss,true_top_cluster_selected,rho_cand,rho_cluster,rho_gain,cluster_sd_mean,best_cluster_rank,rho_cluster_risk_l0.5,rho_cand_risk_l0.5,topk_overlap_l0.5,n_seeds_ct,rho_gain_sd,regret_A1,regret_A1_sd,n_seeds_A1,regret_adj_A1,regret_adj_A1_sd,regret_A9P5,regret_A9P5_sd,n_seeds_A9P5,regret_adj_A9P5,regret_adj_A9P5_sd,regret_A9P5N,regret_A9P5N_sd,n_seeds_A9P5N,regret_adj_A9P5N,regret_adj_A9P5N_sd,d_A9P5_A1,d_A9P5N_A1,d_A9P5N_A9P5,dadj_A9P5_A1,dadj_A9P5N_A1,dadj_A9P5N_A9P5
232,1,13,1,3,1,late,late_r2-4,3,2-4,1,2,1,2,3,-1,0,0,0,0,1,1,2,2,2,0.09805498502391603,1,0.49222195960867093,0.3941669745847549,1,0,1,0.590234676322429,0.8908838226553017,0.41225763166335144,0.710039324419586,0.8908838226553017,0.2450626273653165,59,1.575,1.47,0.10499999999999998,1.07,0.9951694915254238,0.075,1.5,0.39749999999999996,0.5049999999999999,7,29,0.4915254237288136,1.2572822033898303,1.27121,1.22245,Draw,6,0.2711864406779661,0.5084745762711864,0.2033898305084746,0.10499999999999998,4,0,1.9404638864813233,0.125,0.615,0.9637749999999999,1,Draw,-0.41500000000000004,-0.0012711864406779484,59.0,12.0,4.0,0.13559322033898305,2.0,0.16666666666666666,0.9316690956177023,4.916666666666667,0.7627118644067796,0.7876618322278178,0.13336978798211496,1.1195238095238096,0.4,1.0,7.0,1.456,0.11899999999999995,1.0,0.42073210341862877,0.8545407316858347,0.43380862826720595,1.2615013610999433,1.4,0.7944055944055944,0.3688496093124098,0.85,5,0.07619130878783059,0.0,0.0,5,0.0,0.0,0.36099999999999993,0.3492742475476829,5,0.32003299999999996,0.36499137324736874,0.22399999999999992,0.2785543035029256,5,0.23584999999999998,0.32283564512379975,0.36099999999999993,0.22399999999999992,-0.137,0.32003299999999996,0.23584999999999998,-0.08418299999999998
3968,6,10,0,6,0,mid,mid_r5-8,3,2-4,2,1,2,0,2,2,0,0,0,0,1,1,1,2,2,0.16851730885656274,1,0.49495470333234326,0.3264373944757805,2,0,2,0.6633747575032525,1.1432308868495598,0.9862595497210869,0.35526915930820196,0.6633747575032525,0.16337508491021102,49,0.95,0.8,0.1499999999999999,-0.105,0.049285714285714266,-0.5,1.45,0.5700000000000001,1.055,2,12,0.24489795918367346,1.7352446938775516,1.7099,1.78536,PreGuard,5,0.08163265306122448,0.5306122448979592,0.3673469387755102,0.2799999999999999,3,0,2.4729183127858008,0.325,0.42,0.05731999999999993,1,PreGuard,-1.05,-2.59469387755102,49.0,10.0,4.0,0.20408163265306123,1.0,0.1,0.9086283332445497,4.9,0.8367346938775511,0.5393492704628937,0.21533074545372957,0.925,0.0,0.4,10.0,0.616,0.33399999999999996,1.0,0.4201194592978954,0.7790932173658305,0.35897375806793524,1.7014121053920028,4.0,0.7333333333333332,0.38733762148586176,0.95,5,0.21346678379758954,0.5079999999999999,0.22739283190109574,5,0.549298,0.20095536546084056,0.45299999999999996,0.1021396103380074,5,0.48895999999999995,0.10933367853731073,0.3929999999999999,0.055294665203797,5,0.42917799999999995,0.09389524778975772,-0.05499999999999994,-0.11499999999999999,-0.06000000000000005,-0.060338,-0.12012,-0.059782
2440,2,5,1,11,1,early,early_r9+,5,5-8,3,2,3,2,5,1,0,0,0,0,1,3,2,4,5,0.28237576483119103,1,0.38886779967618945,0.10649203484499842,2,0,2,0.4157840788498278,0.4518594260158661,0.23867910047710506,0.534067285648541,0.4518594260158661,0.40843771227552755,71,1.17,1.03,0.1399999999999999,0.625,0.6114788732394366,0.13,1.04,0.24999999999999994,0.5449999999999999,5,30,0.4225352112676056,2.0035783098591553,2.00858,2.08593,Hit,6,0.22535211267605634,0.4225352112676056,0.3380281690140845,0.1399999999999999,5,1,2.758512450265799,0.31,0.42,0.127035,1,Hit,0.125,-1.2397887323943664,71.0,15.0,4.0,0.2535211267605634,6.0,0.4,0.8310987096272244,4.733333333333333,0.7464788732394366,0.28416984279810664,0.17946692621176738,0.505,0.2,0.4,5.0,0.834,0.33599999999999997,0.2,-0.016335982788080357,-0.020744483616701163,-0.0044085008286207875,1.9549558248461434,5.4,0.016133054485775157,0.00270362596921985,0.85,5,0.2689914430899386,0.37799999999999984,0.13381890748321035,5,0.3274,0.16813603372715802,0.3279999999999999,0.14554209013203023,5,0.2639969999999999,0.12299060460051413,0.44799999999999995,0.33084361864784395,5,0.427592,0.3325796260408927,-0.04999999999999993,0.07000000000000012,0.12000000000000005,-0.0634030000000001,0.100192,0.1635950000000001
1624,6,15,1,1,1,late,r1,7,5-8,3,4,3,4,7,-1,0,0,0,0,1,3,4,3,5,0.15061279701568903,1,0.21027980296585877,0.059667005950169744,1,0,1,0.2906741851642332,0.732490607349299,0.8267519035041075,0.5559321464248794,0.732490607349299,0.5718127971857385,91,1.265,1.26,0.004999999999999893,1.0,0.5285164835164835,-3.05,4.3149999999999995,0.345,0.2649999999999999,7,64,0.7032967032967034,0.3732340549450549,0.0,1.15532,Hit,6,0.3516483516483517,0.37362637362637363,0.26373626373626374,0.004999999999999893,6,1,1.4933471756701153,0.105,0.555,1.0,0,Draw,0.0,0.0,91.0,19.0,4.0,0.8021978021978022,18.0,0.9473684210526315,0.36307846077742373,4.7894736842105265,0.5494505494505495,0.05701152318024823,1.066005912620641,1.25,0.0,1.0,73.0,1.26,0.004999999999999893,0.0,0.6124273415654068,0.7474093186836598,0.134981977118253,0.04485171165103328,18.0,0.7474093186836598,0.559140706649323,1.0,5,0.0,0.0049999999999998,0.0,5,0.032575,0.0,0.0049999999999998,0.0,5,0.032575,0.0,0.0049999999999998,0.0,5,0.032575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9851,7,8,0,8,0,mid,mid_r5-8,6,5-8,3,3,3,3,6,0,0,0,0,0,1,2,4,3,6,0.16740154151021736,1,0.2629055797950268,0.09550403828480947,1,0,1,0.37252800004511194,0.3996649172262152,0.261969340162977,0.45975658686599136,0.3996649172262152,0.490125254730633,81,0.155,-0.06,0.215,-0.445,-0.46685185185185185,-1.155,1.31,0.26499999999999996,0.6,4,24,0.2962962962962963,1.9028020987654322,1.90378,2.0423,Hit,6,0.2962962962962963,0.3950617283950617,0.2962962962962963,0.215,5,1,2.651655008833409,0.535,0.265,-0.86615,1,Hit,1.105,-0.9941975308641976,81.0,17.0,4.0,0.19753086419753085,5.0,0.29411764705882354,0.8432777123889823,4.764705882352941,0.654320987654321,0.49732743168502164,0.1592321775150506,0.7988636363636363,0.0,0.4,11.0,-0.294,0.449,0.4,0.21131545033198135,0.35421904240566715,0.1429035920736858,1.8080039426075387,7.6,0.4200980392156864,0.22437661105033926,0.7,5,0.1885378613211842,0.33799999999999997,0.21686977659415801,5,0.33622199999999997,0.23247636803554886,0.611,0.4577581239038801,5,0.60106,0.487460272368426,0.575,0.2988937938465769,5,0.548947,0.33859498090639206,0.273,0.237,-0.03600000000000003,0.2648380000000001,0.212725,-0.052113000000000076
9879,2,15,1,1,1,late,r1,10,9-12,4,6,4,6,10,-2,0,0,0,0,1,4,6,4,8,0.27271807784596974,1,0.4696014787754537,0.19688340092948398,3,0,3,0.3110764538566039,0.44255923827604204,0.36136551137599504,0.7949739306417538,0.44255923827604204,0.8168754245510551,117,3.125,3.0,0.125,2.955,2.650769230769231,0.18,2.945,0.3849999999999998,0.16999999999999993,69,86,0.7350427350427351,0.3532337324786325,0.259808,0.599479,Hit,6,0.41025641025641024,0.3247863247863248,0.2564102564102564,0.125,6,1,1.0131889832468746,0.0,0.96,3.0,0,Draw,0.0,0.0,117.0,24.0,4.0,0.8034188034188035,23.0,0.9583333333333334,0.3499013977135025,4.875,0.6068376068376068,0.07417269349654805,0.6376913430347315,0.46499999999999986,0.0,1.0,94.0,3.0,0.125,0.0,0.6508449707526978,0.44536594457558853,-0.20547902617710925,0.03285229426185777,24.0,0.44536594457558853,0.6472008950238499,1.0,5,3.1031676915590914e-17,0.3250000000000002,0.0,5,0.45980750000000004,0.0,0.3250000000000002,0.0,5,0.45980750000000004,0.0,0.13400000000000006,0.00821583836257754,5,0.05622030000000007,0.05132187749951287,0.0,-0.19100000000000011,-0.19100000000000011,0.0,-0.4035872,-0.4035872
9832,1,9,1,7,1,mid,mid_r5-8,9,9-12,5,4,5,4,9,1,0,0,0,0,1,6,3,5,9,0.20610657200827018,1,0.28102198578445803,0.07491541377618785,1,0,1,0.341426636482862,0.4444343705846437,0.29156901344478536,0.5167205436664128,0.4444343705846437,0.7351878820959495,103,1.24,1.165,0.07499999999999996,0.335,0.39135922330097084,-0.105,1.345,0.3275,0.905,4,10,0.0970873786407767,1.8354704854368928,1.8315,1.80067,Hit,6,0.3106796116504854,0.3300970873786408,0.34951456310679613,0.07499999999999996,3,1,2.5316167291481153,0.23,0.425,0.362225,0,Freeze,0.2350000000000001,-0.26359223300970874,103.0,21.0,4.0,0.3883495145631068,8.0,0.38095238095238093,0.669664031289582,4.904761904761905,0.6990291262135923,0.4199622863047775,0.18987130568482166,1.1283333333333334,0.6,0.6,1.0,1.1320000000000001,0.10799999999999998,0.6,0.24819794476157994,0.4817287730510483,0.23353082828946828,1.866579344042954,3.0,0.37146535777134665,0.21277179477374072,0.85,5,0.06007775645483119,0.375,0.5026305800486078,5,0.34939800000000004,0.5690358896150575,0.27599999999999997,0.4498249659589827,5,0.32970299999999997,0.4806138837934252,0.49499999999999994,0.3081395787626121,5,0.589002,0.40035642435210156,-0.09900000000000003,0.11999999999999994,0.21899999999999997,-0.019695000000000074,0.23960399999999998,0.25929900000000006
4221,2,14,0,2,0,late,late_r2-4,14,13-16,7,7,7,7,14,0,0,0,0,0,1,13,1,3,12,0.161538045948934,1,0.2811561183755393,0.11961807242660527,2,0,2,0.2964143195748169,0.3882622006635516,0.5167703289109976,0.43399761878637627,0.3882622006635516,1.143625594371477,145,1.555,1.505,0.050000000000000044,0.45,-0.0167241379310345,-2.795,4.35,1.425,1.105,4,6,0.041379310344827586,1.647066751724138,1.53528,0.766143,PostGuard,6,0.38620689655172413,0.27586206896551724,0.3310344827586207,0.45999999999999996,2,0,1.1448969450851392,0.045,0.655,1.1719285,1,PostGuard,-0.44500000000000006,-1.2799310344827584,145.0,29.0,4.0,0.2896551724137931,9.0,0.3103448275862069,0.7329840378216925,5.0,0.6896551724137931,0.9116929358337286,0.2628076076541454,3.098690476190476,0.0,1.0,42.0,0.867,0.688,1.0,0.7103118328047715,0.7154230223065203,0.005111189501748825,1.7104678897817713,1.8,0.7194290362188202,0.706168289485186,0.9,5,0.10783906444195117,1.41,0.0,5,1.8992785,0.0,0.8139999999999998,0.1679434428609822,5,1.0618725,0.20073131031929223,0.8119999999999999,0.25076383311793604,5,1.0748704999999998,0.2692779845856323,-0.5960000000000001,-0.598,-0.0019999999999998908,-0.8374060000000001,-0.8244080000000003,0.012997999999999843
1999,2,5,1,11,1,early,early_r9+,2,2-4,0,2,0,2,2,-2,0,0,0,0,0,2,0,0,1,0.9202163481969904,0,1.3170087077920178,0.39679235959502746,0,2,-2,2.034820655883216,2.034820655883216,1.0081985,0.1366000000000014,2.034820655883216,0.16337508491021102,53,0.875,0.81,0.06499999999999995,0.42,0.43867924528301894,0.16,0.715,0.23500000000000004,0.455,8,32,0.6037735849056604,1.915393018867925,1.92715,1.9873,Draw,5,0.3018867924528302,0.5660377358490566,0.11320754716981132,0.06499999999999995,5,0,2.5865103015823228,0.245,0.36,-0.07230999999999999,0,Hit,2.8449999999999998,1.4803773584905657,53.0,11.0,4.0,0.20754716981132076,3.0,0.2727272727272727,0.9040180587189248,4.818181818181818,0.8301886792452831,0.3705871374321858,0.12878327123867528,0.39874999999999994,0.2,0.4,8.0,0.588,0.287,0.6,0.15974119065375883,0.276082482694484,0.11634129204072519,1.753280550294906,7.6,0.2854545454545455,0.1364257380663024,0.85,5,0.14829871672197262,0.1839999999999999,0.07544865803975578,5,0.10937299999999998,0.07538001091138154,0.21499999999999994,0.15297058540778355,5,0.159013,0.1987212705839513,0.3549999999999999,0.11368817000902079,5,0.342975,0.1577402977602743,0.031000000000000028,0.171,0.13999999999999999,0.049640000000000004,0.23360199999999998,0.183962
99,4,13,1,3,1,late,late_r2-4,3,2-4,0,3,0,2,2,-2,0,0,0,0,1,1,1,1,2,0.33259525857264094,0,0.6773669126913426,0.3447716541187017,0,2,-2,0.9125965760203172,1.2229030407239645,0.939270816521341,0.46977423182725686,0.9125965760203172,0.16337508491021102,57,0.635,0.48,0.15500000000000003,-0.86,-0.5702631578947369,-1.375,2.01,1.0550000000000002,1.495,3,9,0.15789473684210525,1.4699384210526316,1.49157,1.17974,Hit,5,0.3508771929824561,0.5263157894736842,0.10526315789473684,0.15500000000000003,2,1,1.8801390535518974,0.255,0.235,0.04513,1,Hit,0.37,0.7958771929824561,57.0,12.0,4.0,0.17543859649122806,1.0,0.08333333333333333,0.9246796535245204,4.75,0.8771929824561402,0.9309138524466809,0.13801564853418788,1.659375,0.6,0.6,3.0,0.549,0.086,1.0,0.5991143548749784,0.8589453498227039,0.25983099494772555,1.3745662622850294,3.8,0.8223776223776225,0.6208754110998629,0.95,5,0.0861547618080917,0.395,0.0,5,0.366915,0.0,0.143,0.23647410006171923,5,0.16637600000000002,0.24271366078158849,0.09399999999999997,0.13667479650615907,5,0.13430599999999998,0.18588069743789964,-0.252,-0.30100000000000005,-0.049000000000000016,-0.20053899999999997,-0.232609,-0.03207000000000004
