game,a_hammer_end0,net_end0,net_end1,net_a
0,0,-1,1,0
1,1,1,-1,0
2,0,2,-1,1
3,1,1,-1,0
4,0,-1,1,0
5,1,1,-2,-1
6,0,-1,2,1
7,1,2,-3,-1
8,0,-2,-1,-3
9,1,-1,1,0
10,0,-4,-1,-5
11,1,4,-2,2
