game_id,end,shot_num,team,remaining,has_hammer,phase_shot,phase_r,n_stones,n_stones_bin,n_my,n_op,n_my_house,n_op_house,n_house,house_diff,n_my_guard,n_op_guard,n_guard,n_center_guard,center_lane_blocked,n_front_house,n_back_house,n_within_0.61,n_within_1.22,d_no1,no1_mine,d_no2,no1_no2_gap,counting_my,counting_op,score_now,min_pair_dist,mean_nn_dist,x_spread,y_spread,house_mean_nn_dist,house_density,n_cand,q_star,q_2nd,q_gap12,q_median,q_mean,q_min,q_range,q_iqr,q_star_minus_median,n_near_best_025,n_near_best_050,frac_near_best_050,q_sd_mean,q_sd_median,q_sd_best,best_type,n_types,frac_hit,frac_draw,frac_guard,best_type_margin,n_types_near_best_050,best_type_is_hit,best_hist_entropy,best_p_negative,best_p_ge2,qadj_star_l0.5,qadj_best_same_as_q_best_l0.5,qadj_best_type_l0.5,lookahead_gain_best,lookahead_gain_mean,n_cand_ct,K_clusters,n_reps,largest_frac,n_singleton,singleton_frac,size_entropy_norm,mean_cluster_size,type_purity,eta2_q,within_sd_q,between_range_q,best_is_rep,best_cluster_selected,best_cluster_size,rep_q_max,screen_loss,true_top_cluster_selected,rho_cand,rho_cluster,rho_gain,cluster_sd_mean,best_cluster_rank,rho_cluster_risk_l0.5,rho_cand_risk_l0.5,topk_overlap_l0.5,n_seeds_ct,rho_gain_sd,regret_A9P5,regret_A9P5_sd,n_seeds_A9P5,regret_adj_A9P5,regret_adj_A9P5_sd,regret_A9R05,regret_A9R05_sd,n_seeds_A9R05,regret_adj_A9R05,regret_adj_A9R05_sd,d_A9R05_A9P5,dadj_A9R05_A9P5
1221,1,10,0,6,0,mid,mid_r5-8,10,9-12,5,5,5,5,10,0,0,0,0,0,1,6,4,5,9,0.06569629161193065,0,0.4160109626632448,0.35031467105131414,0,2,-2,0.30362568895928504,0.3854998755981042,0.34816625682311947,0.6232616353506759,0.3854998755981042,0.8168754245510551,113,-0.575,-0.64,0.06500000000000006,-1.565,-1.5368141592920355,-2.205,1.6300000000000001,0.3999999999999999,0.99,4,11,0.09734513274336283,1.8313450442477877,1.82143,1.97848,Hit,6,0.35398230088495575,0.3185840707964602,0.3185840707964602,0.54,1,1,2.667919812153199,0.625,0.145,-1.5642399999999999,1,Hit,1.3800000000000001,0.5035840707964602,113.0,23.0,4.0,0.23008849557522124,9.0,0.391304347826087,0.751361984402086,4.913043478260869,0.672566371681416,0.5582014534582067,0.19943996116031965,1.165,0.4,0.4,2.0,-0.766,0.191,0.4,0.33728578371352425,0.42873622896135527,0.09145044524783102,1.756900617120806,10.2,0.4415434408993944,0.3364406931086406,0.75,5,0.19185446715167714,0.502,0.09549869109050668,5,0.504605,0.12013435062462358,0.6319999999999999,0.24803225596683995,5,0.6017110000000001,0.21247830731629994,0.1299999999999999,0.09710600000000014
7301,6,14,0,2,0,late,late_r2-4,14,13-16,7,7,7,7,14,0,0,0,0,0,1,11,3,7,13,0.13027714993029557,1,0.18891087855388244,0.05863372862358687,2,0,2,0.3159071422534805,0.3802318222170781,0.4162723490841641,0.5520689840158066,0.3802318222170781,1.143625594371477,145,1.985,1.975,0.010000000000000009,1.785,1.4727241379310345,-0.27,2.255,0.855,0.20000000000000018,84,95,0.6551724137931034,0.736237303448276,0.493052,0.211601,Draw,6,0.38620689655172413,0.27586206896551724,0.3310344827586207,0.010000000000000009,6,0,0.3060883464681327,0.0,0.97,1.8847065,0,Draw,-0.014999999999999902,-0.41886206896551725,145.0,29.0,4.0,0.23448275862068962,12.0,0.4137931034482759,0.7454823268599269,5.0,0.6758620689655173,0.9018240183016545,0.15636282366322796,2.2350000000000003,0.2,0.2,17.0,1.9580000000000002,0.027000000000000045,0.6,0.6408982760215063,0.6561607490009277,0.01526247297942136,0.8662668042638529,6.8,0.6521306239769264,0.6505175734613005,0.9,5,0.04139575136624821,0.6770000000000002,0.6031749331661587,5,1.0376529,0.8224429035169707,0.367,0.6058836521973505,5,0.5303931,0.8138578010969882,-0.31000000000000016,-0.5072598000000001
5248,0,3,1,13,1,early,early_r9+,2,2-4,1,1,1,1,2,0,0,0,0,0,1,2,0,1,2,0.1366614770738264,0,0.793122089270625,0.6564606121967986,0,1,-1,0.661473869755262,0.661473869755262,0.2917685,0.15575000000000117,0.661473869755262,0.16337508491021102,49,1.33,1.27,0.06000000000000005,0.89,0.8927551020408163,0.53,0.8,0.16999999999999993,0.44000000000000006,9,30,0.6122448979591837,2.189506530612245,2.19681,2.02758,Draw,6,0.16326530612244897,0.5714285714285714,0.24489795918367346,0.15500000000000003,5,0,2.7476389025554906,0.245,0.445,0.3162100000000001,1,Draw,1.5950000000000002,1.2945918367346938,49.0,10.0,4.0,0.16326530612244897,1.0,0.1,0.9344292513409627,4.9,0.7551020408163265,0.26152596953605095,0.14155058767892267,0.3350000000000001,0.0,0.2,4.0,1.218,0.11200000000000006,0.6,0.1280756602970948,0.21307084363078274,0.08499518333368797,2.047857011029255,5.0,0.3236363636363636,0.11688678240401536,0.85,5,0.42517468822326887,0.261,0.18036074961032963,5,0.3291360000000001,0.2280634122179619,0.45600000000000007,0.24102385774026605,5,0.48271800000000004,0.24942902288526894,0.19500000000000006,0.15358199999999994
2545,3,15,1,1,1,late,r1,4,2-4,3,1,3,1,4,2,0,0,0,0,1,3,1,2,4,0.1379387298656893,1,0.4002212937376064,0.26228256387191706,2,0,2,0.36250933540531005,0.5070027825877275,0.21808787484115205,0.44044782537208693,0.5070027825877275,0.32675016982042204,61,2.98,2.965,0.015000000000000124,2.0,2.1115573770491802,1.23,1.75,0.0,0.98,8,9,0.14754098360655737,0.12449303934426229,0.0,0.14,Draw,6,0.13114754098360656,0.45901639344262296,0.39344262295081966,0.20000000000000018,2,0,0.14144054254182067,0.0,1.0,2.91,1,Draw,0.0,0.0,61.0,13.0,4.0,0.8032786885245902,12.0,0.9230769230769231,0.38388966872551344,4.6923076923076925,0.6229508196721312,0.025743654364196518,0.3775383891985254,0.13877551020408152,1.0,1.0,49.0,2.98,0.0,1.0,0.3324192764781088,0.7359800721939873,0.4035607957158785,0.033961236503585464,1.0,0.7359800721939873,0.3324192764781088,1.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0
6335,1,11,1,5,1,mid,mid_r5-8,2,2-4,0,2,0,2,2,-2,0,0,0,0,0,2,0,0,2,0.6972553560611778,0,0.9527815931098792,0.25552623704870137,0,2,-2,0.3238659754296524,0.3238659754296524,0.09621449999999998,0.1302500000000002,0.3238659754296524,0.16337508491021102,53,1.125,0.965,0.16000000000000003,0.135,0.18339622641509434,-0.45,1.575,0.39,0.99,2,5,0.09433962264150944,1.6078462264150943,1.62073,1.49645,Hit,5,0.3018867924528302,0.5660377358490566,0.11320754716981132,0.7,1,1,2.1982918886624767,0.24,0.455,0.37677499999999997,1,Hit,0.31499999999999995,1.2635849056603774,53.0,11.0,4.0,0.1509433962264151,2.0,0.18181818181818182,0.934148555226181,4.818181818181818,0.8301886792452831,0.7685820546911007,0.13853893112181806,0.8635416666666667,0.2,1.0,6.0,0.835,0.29000000000000004,1.0,0.2112484224333607,0.23429024367348356,0.02304182124012281,1.5143066472391196,1.6,0.2781818181818182,0.21140981513675525,0.85,5,0.08961402767611736,0.15,0.17578395831246946,5,0.13993099999999997,0.14137860978592198,0.306,0.30672463220289303,5,0.27879899999999996,0.26044130462543763,0.156,0.138868
8275,4,5,1,11,1,early,early_r9+,5,5-8,3,2,3,2,5,1,0,0,0,0,1,2,3,3,5,0.26305334684052206,0,0.3305802272610996,0.06752688042057753,0,2,-2,0.3442200427691576,0.4833236269591305,0.2188477530471719,0.457892278161578,0.4833236269591305,0.40843771227552755,71,1.005,0.935,0.06999999999999984,0.555,0.5565492957746478,0.135,0.8699999999999999,0.2849999999999999,0.44999999999999984,14,41,0.5774647887323944,2.0161392957746473,2.0024,1.98871,Hit,6,0.22535211267605634,0.4225352112676056,0.3380281690140845,0.06999999999999984,4,1,2.6655316501023023,0.335,0.415,0.037675000000000014,0,Draw,-0.5750000000000002,1.568661971830986,71.0,15.0,4.0,0.2535211267605634,7.0,0.4666666666666667,0.7964126325213763,4.733333333333333,0.676056338028169,0.47262507098202466,0.15236224877460527,0.7699999999999999,0.2,0.2,1.0,0.89,0.11499999999999988,0.2,0.16873432071492073,0.15438514595807687,-0.01434917475684384,1.7113303111044071,9.6,0.2107142857142857,0.20369064514915397,0.8,5,0.28714466548114026,0.3589999999999999,0.20577293310831718,5,0.45369800000000005,0.2576524931860742,0.27699999999999986,0.22678734532596825,5,0.351628,0.2671141396856408,-0.08200000000000002,-0.10207000000000005
963,5,13,1,3,1,late,late_r2-4,8,5-8,6,2,6,2,8,4,0,0,0,0,1,3,5,3,8,0.31602984431853853,1,0.4593563715678729,0.14332652724933437,1,0,1,0.31260140526820807,0.4396715257687147,0.3776292004028255,0.6634237775311879,0.4396715257687147,0.6535003396408441,89,1.235,1.225,0.010000000000000009,0.81,0.7187640449438202,-0.315,1.55,0.39,0.42500000000000004,14,54,0.6067415730337079,1.6887747191011233,1.713,1.95953,Hit,6,0.1797752808988764,0.33707865168539325,0.47191011235955055,0.10000000000000009,5,1,2.513085534707235,0.345,0.495,0.508345,0,Hit,-0.4849999999999999,-0.07410112359550565,89.0,18.0,4.0,0.29213483146067415,7.0,0.3888888888888889,0.7496576497580033,4.944444444444445,0.6629213483146067,0.6069489455549089,0.19856236614400133,1.4649999999999999,0.0,0.2,5.0,0.991,0.24400000000000016,0.4,0.23242351198097194,0.29118423056954923,0.058760718588577274,1.566432823933497,9.2,0.22541801261458905,0.2676233479241629,0.9,5,0.09684215802325308,0.3750000000000001,0.0,5,0.685215,0.0,0.3750000000000001,0.0,5,0.685215,0.0,0.0,0.0
176,5,11,1,5,1,mid,mid_r5-8,8,5-8,4,4,4,4,8,0,0,0,0,0,1,4,4,4,7,0.1394823748722376,1,0.4793334847473105,0.33985110987507294,3,0,3,0.2941253367460884,0.4217919810843709,0.3710311923955207,0.6638490452231977,0.4217919810843709,0.6535003396408441,97,1.585,1.505,0.08000000000000007,0.985,0.9622680412371134,0.28,1.305,0.35499999999999987,0.6,8,34,0.35051546391752575,1.9084549484536084,1.89997,1.83379,PreGuard,6,0.32989690721649484,0.35051546391752575,0.30927835051546393,0.08000000000000007,5,0,2.5944065815140784,0.21,0.51,0.668105,1,PreGuard,-1.415,-1.5368556701030927,97.0,20.0,4.0,0.2268041237113402,9.0,0.45,0.7749501491185365,4.85,0.7010309278350515,0.6562908329238253,0.1719595114866305,1.1849999999999998,0.0,0.4,22.0,1.419,0.166,0.6,0.2435964560365838,0.24503324608314406,0.0014367900465602878,1.7868444001977166,6.6,0.2762559304039439,0.23067971740214208,0.9,5,0.13787303613365104,0.8039999999999999,0.40805024200458445,5,0.8988530000000001,0.3860892449065372,0.6759999999999999,0.4668029562888393,5,0.7257629999999999,0.4369825689115071,-0.128,-0.1730900000000002
2199,1,13,1,3,1,late,late_r2-4,11,9-12,6,5,6,5,11,1,0,0,0,0,1,8,3,3,10,0.2812336910133643,1,0.3679630632020013,0.08672937218863697,1,0,1,0.31848208270011386,0.48187092968254536,0.591284477019403,0.5503356989034999,0.48187092968254536,0.8985629670061606,119,0.25,0.21,0.04000000000000001,-0.93,-0.9113025210084035,-1.765,2.0149999999999997,0.375,1.1800000000000002,2,6,0.05042016806722689,1.6228573109243696,1.56652,1.54839,Hit,6,0.33613445378151263,0.3025210084033613,0.35294117647058826,0.645,1,1,2.118908129335429,0.385,0.155,-0.524195,1,Hit,-0.73,-1.0441596638655462,119.0,24.0,4.0,0.2773109243697479,8.0,0.3333333333333333,0.7498470552190996,4.958333333333333,0.7142857142857143,0.4944397443148928,0.1989618009570239,1.435,0.0,0.0,6.0,-0.19899999999999998,0.449,0.0,0.09766665972161655,0.23245326575256225,0.13478660603094572,1.4697941267688992,12.8,0.12297313532606986,0.05292454037912932,0.9,5,0.0861121775818548,1.611,0.17253260561412728,5,1.931165,0.2171035287311103,1.6740000000000002,0.17253260561412728,5,2.01044,0.2171035287311103,0.06300000000000017,0.07927499999999998
8298,3,11,1,5,1,mid,mid_r5-8,11,9-12,6,5,6,5,11,1,0,0,0,0,1,5,6,5,10,0.2229512457445338,1,0.2664152174407483,0.04346397169621452,1,0,1,0.3634157620260877,0.5154096515019706,0.41360929389012074,0.6333860761712428,0.5154096515019706,0.8985629670061606,119,1.185,1.15,0.03500000000000014,0.025,0.08941176470588234,-0.61,1.795,0.4275,1.1600000000000001,5,8,0.06722689075630252,1.8108553781512609,1.78459,2.06659,Hit,6,0.33613445378151263,0.3025210084033613,0.35294117647058826,0.45000000000000007,2,1,2.7279583876444096,0.3,0.43,0.15170499999999998,1,Hit,0.9800000000000001,-0.4751680672268907,119.0,24.0,4.0,0.25210084033613445,10.0,0.4166666666666667,0.7546887151323951,4.958333333333333,0.7394957983193278,0.6340174750022506,0.20843912066790643,1.685,0.0,0.0,2.0,0.8,0.385,0.0,0.2473378287501101,0.2215196374578349,-0.025818191292275257,1.5956722399987187,12.0,0.2034168906575478,0.24719826871890782,0.9,5,0.1219251592921022,0.43499999999999994,0.11180339887498948,5,0.4403309999999999,0.08370944080568209,0.385,0.0,5,0.402895,0.0,-0.04999999999999993,-0.037435999999999914
